,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
341,Mo1 Nb1 Re1 Ta1 W1,CAST,C,25.0,15.138,14.97957603,BCC,,1000.0,1320.0,,288.2287913,1.7,1.7,,Prof.Yeh-RHEA,1.0969565217391304
314,Hf1 Nb1 Ta1 Zr1,,C,25.0,11.1,11.06162515,BCC,365.0,1315.0,,,104.9436304,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.8043478260869564
317,Hf1 Nb1 Ti1 Zr1,,T,25.0,8.4,8.389278152,BCC,,879.0,969.0,,89.37400368,15.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6086956521739131
422,Co1 Ni1,,C,25.0,8.875,8.870783937,FCC,,107.0,,,204.5271493,42.4,,,Prof.Yeh-3dtransitional,0.6431159420289855
218,Co1 Cr1 Fe1 Mn1 Ni1,,C,25.0,8.025,8.027647867,FCC,144.0,230.0,,,219.8823361,,,,Prof.Yeh-3dtransitional,0.5815217391304348
148,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,,C,25.0,6.455,6.45294893,BCC,,1260.0,,,175.9990498,14.0,,,Prof.Yeh-3dtransitional,0.4677536231884058
78,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.091430053,BCC,427.0,1415.0,,105.0,102.7968193,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6594202898550724
73,Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,800.0,7.6,7.557222162,BCC,,796.0,,,108.974285,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5507246376811593
33,Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,1000.0,7.7,7.706514339,BCC,,166.0,,,107.1964186,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5579710144927537
116,Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,500.0,6.3,6.271288576,BCC,,1120.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.45652173913043476
294,Hf1 Mo1 Nb1 Ti1 Zr1,,,1200.0,8.7,8.685086263,BCC,,187.0,,,127.9212828,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6304347826086956
76,Al0.5 Nb1 Ta1 Ti1 V1,,C,25.0,8.5,8.460857347,BCC,,1014.0,,127.0,127.1790096,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6159420289855072
