,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
140,Al0.5 Co1 Cr1 Cu1 Fe1,,,25.0,,7.4,FCC,207.0,,,,,,,10.3166/acsm.31.633-648,,0.49400597087526515
605,Co1 Cr1 Fe1 Ni1,,,,,8.2,,,,,204.0,226.0,48.0,,10.1016/j.msea.2016.05.082,,0.5474120217806991
342,Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,CAST,C,25.0,3.15,3.2,FCC,,534.0,,107.8,72.0,1.0,,10.1038/s41598-019-43329-w,,0.21362420362173629
588,Co1 Cr1 Fe1 Mo0.15 Ni1,WROUGHT,T,25.0,,8.3,FCC,,1301.0,1493.0,,231.0,,7.2,10.1016/j.msea.2019.05.078,,0.5540877781438786
634,Co1 Cr1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,FCC,,282.0,694.0,,222.0,44.0,,10.1016/j.actamat.2014.08.026,,0.54073626541752
990,Mo0.1 Nb1 Ti1 V0.3 Zr1,ANNEAL,C,25.0,,6.6,BCC,,932.0,,,102.0,,45.0,10.1016/j.matdes.2015.06.072,,0.44059991996983106
209,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,ANNEAL,,,,6.3,,330.0,,,,,,,10.1155/2019/2157592,,0.4205726508802933
430,Al1 Cr1 Fe1 Mo0.2 Ni1,,C,25.0,6.5,6.487648344,BCC,549.0,1487.0,3222.0,,187.5301653,29.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4330995971452738
467,C0.5 Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,7.6,FCC,,520.9,791.0,,,40.3,,10.1016/j.msea.2019.01.050,,0.5073574836016236
331,Al1 Cr1 Mo1 Nb1 Ti1,ANNEAL,C,1200.0,,6.6,BCC,,150.0,,,,,,10.1007/s11661-017-4386-1,,0.44059991996983106
170,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.625,7.621679625,FCC,210.0,388.0,,,188.9516251,,,,Prof.Yeh-3dtransitional,0.5088047625470745
984,Hf1 Nb1 Ta1 Zr1,CAST,C,25.0,11.3,11.06162515,BCC,,1320.0,,,104.9436304,34.0,32.0,,Prof.Yeh-RHEA,0.7384471448221621
590,Co1 Cr1 Fe1 Mo0.15 Ni1,WROUGHT,T,25.0,,8.3,,,1273.0,1458.0,,,,5.5,10.1016/j.msea.2019.05.078,,0.5540877781438786
538,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,243.0,558.0,,220.0,56.0,,10.1080/02670836.2017.1342367,,0.5340605090543407
1032,Mo1 Nb1 Ta1 Ti1,ANNEAL,C,1000.0,,10.0,BCC,,539.0,,,179.0,,,10.1016/j.actamat.2019.06.006,,0.6675756363179258
163,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,500.0,7.6,7.621679625,FCC,,421.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5088047625470745
405,Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,BCC,520.0,1373.0,3531.0,,184.2786056,25.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4484538524686135
942,Hf1 Nb1 Ti1 Zr1,CAST,C,800.0,,8.4,BCC,,303.0,,,89.0,51.0,,10.1007/s12598-019-01310-6,,0.5607635345070577
156,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,CAST,,25.0,,7.6,FCC,204.0,,,,,,,10.1007/s11661-006-0081-3,,0.5073574836016236
314,Al1 Co1 Fe1 Ni1,CAST,C,25.0,,6.6,BCC,456.0,964.0,,,162.0,,,10.1016/j.jmmm.2014.07.023,,0.44059991996983106
433,Al1 Cr1 Fe1 Mo0.5 Ni1,,C,25.0,6.785,6.783315691,BCC,621.5,1750.0,,,198.7126404,12.6,,,Prof.Yeh-3dtransitional,0.4528376288764696
1118,Mo1 Nb1 Ti1 V0.50 Zr1,CAST,C,25.0,7.205,7.207997756,BCC,,1650.0,,,141.6122782,28.1,18.0,,Prof.Yeh-RHEA,0.4811883688539882
946,Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.94,9.906161127,BCC,,1110.0,,96.0,115.2945674,50.0,50.0,,Prof.Yeh-RHEA,0.6613111817824927
964,Hf1 Mo1 Nb1 Ti1 Zr1,,C,25.0,8.7,8.685086263,BCC,,1803.0,1719.0,,127.9212828,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5797951988498302
927,Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,BCC,,972.0,1000.0,,107.0,,,10.1016/j.jallcom.2019.04.291,,0.6608998799547466
893,Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,200.0,,9.9,BCC,,,,86.9,107.0,,,10.1016/j.jallcom.2019.05.322,,0.6608998799547466
196,Al0.6 Cr1 Cu1 Fe1 Ni2,,,25.0,7.5,7.509549942,FCC,,,,,184.5225314,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5013192580991893
192,Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,800.0,7.6,7.557222162,BCC,,796.0,,,108.974285,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5045017393593082
694,Co1 Cr1 Fe1 Mn1 Ni1 V0.25,,C,25.0,7.925,7.920592137,FCC,151.0,200.0,,,214.7184545,75.0,,,Prof.Yeh-3dtransitional,0.5287594335872535
