,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
304,Co1 Fe1 Ni1,,C,25.0,8.525,8.524402703,FCC,124.5,208.5,,,206.7823096,,,,Prof.Yeh-3dtransitional,0.11485239852398524
93,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.091430053,BCC,427.0,1415.0,,105.0,102.7968193,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.39391143911439114
427,Nb1 Ti1 V1 Zr1,,C,25.0,6.5,6.458317279,BCC,335.0,1105.0,,,100.1988131,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.30904059040590404
77,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.2,,,25.0,7.3,7.320414388,BCC,579.0,,,,176.7009301,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5341328413284133
374,Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,BCC,335.0,1015.0,,85.0,,1.7,,10.1016/j.matlet.2016.03.133,,0.30904059040590404
140,Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,,,25.0,,5.5,BCC,657.0,,,,139.0,,,10.3166/acsm.31.633-648,,0.6060885608856088
322,Cr1 Fe1 Mo0.1 Ni2,ANNEAL,,,,,,228.0,,,,,,,,Paper_Collection_4_element,0.21033210332103322
428,Mo1 Nb1 Ta1 Ti0.25 W1,,C,25.0,,13.09564737,BCC,478.3,1109.0,1197.0,,241.768928,2.5,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4412361623616236
352,Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.6,BCC,332.4,1115.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,0.30664206642066416
297,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,,C,25.0,7.825,7.824929394,FCC,186.0,620.0,,,210.1041187,75.0,,,Prof.Yeh-3dtransitional,0.17158671586715868
78,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.4,,,25.0,7.3,7.281595783,BCC,577.0,,,,175.1224045,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5322878228782287
73,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.625,7.621679625,FCC,210.0,388.0,,,188.9516251,,,,Prof.Yeh-3dtransitional,0.1937269372693727
33,Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,CAST,,25.0,,7.3,BCC,577.0,,,,175.0,,,10.1007/s11661-006-0081-3,,0.5322878228782287
