,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
773,Mo1 Nb1 Ta1 W1,,,1600.0,13.8,13.65986331,BCC,,405.0,,,250.0231927,40.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.16360926068812845
485,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.8,BCC,318.9,1025.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,0.41407282026007813
70,Al0.429 Ca0.286 Li1 Mg1 Si0.143,CAST,C,25.0,1.57,1.4,,,418.0,,,,13.0,,10.3390/ma12071136,,0.16886091596947578
649,Hf1 Nb1 Ta1 Ti1 Zr1,,,1200.0,9.9,9.893530612,BCC,,92.0,,,106.9115089,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.03716556045261189
291,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,FCC,,401.0,717.0,,208.0,49.0,,10.1016/j.msea.2018.12.077,,0.16199336675540618
292,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,FCC,,350.0,690.0,,208.0,50.0,,10.1016/j.msea.2018.12.077,,0.14139071911319742
525,Hf0.5 Nb0.75 Ti2 V1 Zr1,CAST,C,25.0,6.77,6.787672183,BCC,,1025.0,,,100.3005773,50.0,50.0,,Prof.Yeh-RHEA,0.41407282026007813
708,Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,23.0,10.91,11.0,BCC,,1515.0,,,209.0,,,10.1016/j.actamat.2019.06.032,,0.6120198270185545
816,Nb1 Ta1 Ti1 W1,ANNEAL,C,600.0,,12.1,BCC,,596.0,,,198.0,,,10.1016/j.actamat.2019.06.006,,0.24076819597561616
254,Al1 Cr1 Mo1 Ti1,ANNEAL,C,25.0,6.64,5.980795667,BCC,,1060.0,,,188.9242953,,,,Prof.Yeh-RHEA,0.4282118921713979
811,Nb1 Ta1 Ti1 W1,ANNEAL,C,20.0,,12.1,BCC,,1054.0,,,198.0,,,10.1016/j.actamat.2019.06.006,,0.4257880512723145
822,Nb1 Ti1 V1 Zr1,ANNEAL,C,25.0,,6.5,BCC,,1104.0,,,100.0,,50.0,10.1016/j.matdes.2015.06.072,,0.4459867254313427
749,Mo1 Nb1 Re1 Ta1 W1,CAST,C,25.0,15.138,14.97957603,BCC,,1000.0,1320.0,,288.2287913,1.7,1.7,,Prof.Yeh-RHEA,0.40397348318056403
