,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
126,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,1000.0,,6.3,BCC,,116.0,,,156.0,,,10.1007/s11661-005-0218-9,,0.04686092404894543
278,C0.5 Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,7.6,FCC,,520.9,791.0,,,40.3,,10.1016/j.msea.2019.01.050,,0.2104297873887558
673,Mo0.7 Nb1 Ti1 V0.3 Zr1,ANNEAL,C,25.0,,7.1,BCC,,1436.0,,,130.0,,27.0,10.1016/j.matdes.2015.06.072,,0.5801059218472899
116,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.091430053,BCC,427.0,1415.0,,105.0,102.7968193,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5716224787004981
228,Al1 Co1 Cr1 Fe1 Ni1 Si1,,C,25.0,5.7,5.651384641,BCC,,1110.0,,,150.9268735,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4484105663304261
668,Mo0.5 Nb1 Ti1 V0.3 Zr1,ANNEAL,C,25.0,,6.9,BCC,,1301.0,,,122.0,,43.0,10.1016/j.matdes.2015.06.072,,0.5255695016179138
640,Hf1 Mo1 Ta1 Ti1 Zr1,,C,25.0,10.2,10.19147746,BCC,542.0,1600.0,,,142.9802846,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6463575730889025
482,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.7,BCC,322.5,1065.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,0.4302317595873007
497,Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,CAST,T,25.0,,8.2,BCC,301.0,903.0,990.0,,103.0,19.0,,10.1063/1.4966659,,0.36478805531204933
274,Al1 Nb1 Ti1 V1,,,1000.0,5.5,5.496265861,BCC,,158.0,,,103.9545112,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.06382781034252911
318,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,WROUGHT,T,25.0,,8.6,FCC,,1100.0,1300.0,,231.0,32.0,,10.1016/j.ijplas.2018.10.005,,0.44437083149862044
591,Hf1 Nb1 Ta1 Ti1 Zr1,CAST,T,25.0,,9.9,BCC,,820.0,869.0,,107.0,50.0,,10.1016/j.msea.2015.12.017,,0.33125825620806254
144,Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,,6.7,,,1313.0,,,,33.0,26.5,10.1016/j.jallcom.2018.07.346,,0.5304171834160806
694,Mo1 Nb1 Ta1 Ti1,ANNEAL,C,60.0,,10.0,BCC,,1071.0,,,179.0,,,10.1016/j.actamat.2019.06.006,,0.4326556004863841
545,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,1000.0,,9.9,BCC,,814.0,,,137.0,23.0,,10.3390/e21010015,,0.3288344153089791
790,Mo1 Nb1 Ti1 V3.0 Zr1,,C,25.0,6.9,6.884746957,BCC,,1418.0,2508.0,,137.55764,24.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5728343991500399
679,Mo1.5 Nb1 Ti1 V1 Zr1,,C,25.0,7.4,7.374721493,BCC,,1603.0,,,155.8178991,20.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6475694935384442
369,Co1 Cr1 Fe1 Mo0.083 Ni1,CAST,T,25.0,,8.2,,,198.8,479.0,,,51.1,,10.1016/j.actamat.2016.06.063,,0.08030992845629614
268,Al1 Nb1.5 Ta0.5 Ti1.5 Zr0.5,,,1000.0,6.8,6.848966848,BCC,,403.0,,,105.1027635,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.16280131372176732
629,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,C,25.0,10.0,9.938913534,BCC,505.0,1512.0,,,137.0328224,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6108079065690128
307,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,WROUGHT,T,25.0,,8.0,,,1120.0,1175.0,,,1.5,,10.1016/j.msea.2019.01.112,,0.4524503011622317
423,Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,8.3,8.331325886,FCC,132.0,230.0,,206.0,206.0965696,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.09291390113152974
310,Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,FCC,,387.0,626.0,223.0,213.0,73.0,,10.1016/j.actamat.2019.04.017,,0.1563377379908783
354,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,7.753,8.0,FCC,,293.1,626.0,,,,,10.1016/j.intermet.2019.106486,,0.11840462792022333
46,Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,FCC,,159.0,410.0,,,43.0,,10.1016/j.matdes.2017.02.072,,0.06423178382570968
349,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,300.0,676.0,,220.0,57.0,,10.1016/j.jmst.2018.09.068,,0.12119204495416921
371,Co1 Cr1 Fe1 Mo0.15 Ni1,WROUGHT,T,25.0,,8.3,,,873.0,,,,,23.4,10.1016/j.msea.2019.05.078,,0.3526688508166324
823,Nb1 Ti1 V1 Zr1,,C,25.0,6.52,6.5,,335.0,1105.0,,,,50.0,,10.1016/j.actamat.2012.11.032,,0.44639069891452327
261,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,1000.0,7.1,7.147250402,BCC,,745.0,,,118.2773132,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.30096024496952023
195,Al1 Nb1 Ti1 V1,ANNEAL,C,25.0,,5.5,BCC,448.0,1020.0,1318.0,,104.0,,50.0,10.1016/j.matlet.2014.11.162,,0.4120529528441753
868,Mo1 Nb1 Ta1 Ti1 W1,,C,25.0,,11.75495916,BCC,507.5,1455.0,1910.0,,222.155169,11.5,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5877814180277207
