FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Fe1 Ni1,,C,25.0,8.375,8.372690058,0,,185.0,,,205.7010234,35.8,,,Prof.Yeh-3dtransitional,0
Cr1 Cu1 Fe1 Mn1 Ni1,ANNEAL,T,25.0,,8.1,2,,525.0,680.0,,,5.2,,10.1016/j.matchemphys.2018.09.033,,2
Al0.2 Cr1 Cu1 Fe1 Ni2,,,25.0,8.0,8.035241948,0,,,,,197.0352363,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,8.91,8.862378885,1,441.0,1489.0,,103.0,101.6218114,21.0,21.0,,Prof.Yeh-RHEA,1
Hf1 Mo1 Nb1 Ti1 Zr1,ANNEAL,C,800.0,,8.7,1,,825.0,1095.0,,128.0,,,10.1016/j.matdes.2015.05.019,,1
Cr0.5 Fe0.5 Ni1 Ti0.15,WROUGHT,T,25.0,,7.8,0,335.0,672.0,982.0,,212.0,37.0,,10.1016/j.msea.2019.138181,,0
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,C,25.0,7.7,7.706514339,1,500.0,1965.0,2061.0,,107.1964186,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,25.0,7.6,7.557222162,1,,2035.0,,,108.974285,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Fe1 Ni1,CAST,C,25.0,,8.5,0,125.0,209.0,,,207.0,31.0,,10.1016/j.jmmm.2014.07.023,,0
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,C,25.0,7.1,7.147250402,1,591.0,2000.0,2368.0,,118.2773132,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cu1 Fe1 Ni1 Ti1,CAST,C,25.0,,6.1,0,516.0,1074.0,1617.0,146.0,137.0,,8.0,10.1016/j.apsusc.2015.07.207,,0
Hf1 Nb1 Ta1 Ti1,ANNEAL,C,20.0,,10.9,1,,834.0,,,119.0,,,10.1016/j.actamat.2019.06.006,,1
Co1 Cr1 Fe1 Mn1 Ni1,CAST,C,25.0,,8.0,0,130.2,210.0,,,220.0,75.0,,10.1016/j.scriptamat.2018.11.042,,0
Al1 Co1 Cr1 Cu1 Ni1 Ti1,,C,25.0,,6.4,1,,,1495.0,36.0,157.0,,8.0,10.1016/j.matdes.2009.09.016,,1
Al1 Cu0.2 Li0.5 Mg1 Zn0.5,,,25.0,2.7,2.743501824,2,,,,,55.91035824,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,420.0,,9.9,1,,,,83.8,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Co1 Cr0.2 Fe1 Ni1 Si0.2,WROUGHT,T,25.0,,7.8,0,318.2,705.0,1070.0,,195.0,10.0,,10.1016/j.jmmm.2019.01.096,,0
Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,,25.0,6.3,6.270999626,2,780.0,,,,144.2424887,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Co1 Cr1 Mn1 Ni1,,C,25.0,8.065,8.066118534,0,,282.0,,,222.1443966,43.8,,,Prof.Yeh-3dtransitional,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,,,9.9,1,,,,,,5.0,,10.1016/j.matchar.2018.07.015,,1
Al0.304 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,7.6,0,,,,,210.0,87.0,,10.1016/j.msea.2015.02.072,,0
Hf1 Nb0.5 O0.05 Ta0.5 Ti1 Zr1,CAST,C,25.0,9.29,9.141264456,1,,955.0,,,,50.0,50.0,,Prof.Yeh-RHEA,1
Al0.304 Co1 Cr1 Fe1 Ni1,,T,25.0,,7.6,0,,260.0,620.0,,,,,10.1016/j.matlet.2017.04.072,,0
Co1 Cr1 Ni1,WROUGHT,T,25.0,,8.3,0,326.0,597.0,,,,,,10.1016/j.actamat.2018.12.015,,0
Co1 Cr0.2 Fe1 Ni1 Si0.2,WROUGHT,T,25.0,,7.8,0,153.8,320.0,920.0,,195.0,60.0,,10.1016/j.jmmm.2019.01.096,,0
Al0.1 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,8.0,0,,1403.0,,,220.0,1.2,,10.1016/j.actamat.2018.12.012,,0
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,1200.0,7.1,7.147250402,1,,250.0,,,118.2773132,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,72.0,,8.4,1,,1040.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,366.88,673.0,,220.0,45.05,,10.1007/s11661-019-05231-y,,0
Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,23.0,10.91,11.0,1,,1515.0,,,209.0,,,10.1016/j.actamat.2019.06.032,,1
Co1 Cr1 Fe1 Ni1,WROUGHT,T,-269.0,,8.2,0,,680.0,1251.0,221.0,226.0,,,10.1007/s40843-018-9373-y,,0
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-103.0,,8.4,1,,1250.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Mo1 Nb1 Ta1 V1 W1,CAST,C,25.0,,12.4,1,536.0,1246.0,1270.0,,229.0,13.0,,10.1016/j.intermet.2011.01.004,,1
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,1200.0,10.18,10.2,1,,404.0,,,143.0,,,10.1016/j.actamat.2019.06.032,,1
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.3,7.275683436,0,270.0,,,,180.5924104,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-196.0,,8.4,1,,1920.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Mo1 Nb1 Ta1 W1,POWDER,,600.0,,13.7,1,340.0,,,,250.0,,,10.1007/s10853-019-03567-9,,1
Mo1 Nb1 Ta1 W1,,,1000.0,13.8,13.65986331,1,,548.0,,,250.0231927,40.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Nb1 Ta1 Ti1 W1,ANNEAL,C,400.0,,12.1,1,,627.0,,,198.0,,,10.1016/j.actamat.2019.06.006,,1
Cr1 Fe1 Mo0.3 Ni3,ANNEAL,C,,,8.473425645,0,268.0,,,,227.4269998,,,,Paper_Collection_4_element,0
Hf1 Mo1 Ta1 Ti1 Zr1,,,25.0,10.21,10.19147746,1,,1600.0,,,142.9802846,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,,C,25.0,6.2,6.218362268,1,,1481.0,2444.0,,168.6613999,13.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ti1 Zr1,CAST,C,25.0,7.305,7.308611099,1,,1590.0,,,142.8743035,33.5,21.9,,Prof.Yeh-RHEA,1
Nb1 Ta1 Ti1,WROUGHT,C,600.0,,10.0,1,,222.0,,,136.0,,,10.1016/j.actamat.2019.06.006,,1
Co1 Fe1 Ni1,WROUGHT,T,25.0,,8.5,0,,211.0,513.0,,207.0,,,10.1016/j.actamat.2014.08.026,,0
Mo1 Nb1 Re0.5 W1,CAST,C,25.0,,13.7,1,473.0,896.0,,,298.0,10.4,7.08,10.1016/j.jallcom.2018.11.111,,1
