FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Mo1 Nb1 Ti1 V1 Zr1,CAST,C,25.0,7.1,7.123122391,1,,1779.0,,,140.5476593,32.0,32.0,,Prof.Yeh-RHEA,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,120.0,,9.9,1,,,,87.7,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Mo2 Nb1 Ti1 V1 Zr1,CAST,C,25.0,7.6,7.588602845,1,,1765.0,,,168.7989452,12.0,12.0,,Prof.Yeh-RHEA,1
Al1 Cr1 Mo1 Ti1,ANNEAL,C,800.0,,6.0,1,,875.0,,,189.0,,,10.1007/s11661-017-4386-1,,1
Co1 Mn1 Ni1,,T,25.0,8.4,8.372859777,0,,231.0,653.0,,202.1994178,38.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co1 Mn1 Ni1,WROUGHT,T,25.0,,8.4,0,,321.0,566.0,190.0,202.0,24.0,,10.1016/j.actamat.2019.04.017,,0
Co1 Cr1 Fe1 Mn1 Ni1,,C,25.0,8.0,8.027647867,0,144.0,230.0,,,219.8823361,75.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Mo0.135 Nb0.205 Ti0.24 V0.20 Zr0.22,CAST,C,25.0,6.845,6.835399701,1,,1475.5,,,126.8650501,29.75,22.0,,Prof.Yeh-RHEA,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,0,,388.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co1 Fe1 Ni1,,C,25.0,8.5,8.524402703,0,125.0,204.0,,,206.7823096,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,,,25.0,7.8,7.79697679,0,509.0,,,,207.3950164,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Mo1 Nb0.588 Ti0.588 V0.588 Zr0.588,ANNEAL,C,25.0,,7.5,1,,1645.0,,,161.0,,15.0,10.1016/j.matdes.2015.06.072,,1
Mo1 Nb1 Ta1 Ti1 W1,CAST,C,1000.0,11.72,11.8,1,,620.0,,,222.0,,,10.1016/j.actamat.2019.06.032,,1
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,CAST,C,100.0,,10.4,1,,765.0,,,122.0,,,10.1080/14786435.2015.1028506,,1
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,CAST,C,60.0,,10.4,1,,795.0,,,122.0,,,10.1080/14786435.2015.1028506,,1
Al0.25 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.7,0,113.0,,,,213.0,,,10.1016/j.jallcom.2009.08.090,,0
Al0.5 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.8,6.817877503,1,487.0,1625.0,,158.0,155.5890876,11.0,11.0,,Prof.Yeh-RHEA,1
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,600.0,,6.6,1,,1060.0,1170.0,,170.0,3.0,,10.1016/j.jallcom.2015.11.050,,1
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,900.0,6.3,6.271288576,1,,214.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.715,6.717648579,1,,1140.0,,125.0,184.2786056,14.0,,,Prof.Yeh-3dtransitional,1
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-103.0,,8.4,1,,1370.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,560.0,,9.9,1,,,,81.3,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,0,,221.0,602.0,,203.0,49.0,,10.1016/j.actamat.2014.08.026,,0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,T,25.0,,8.3,0,,,802.0,,232.0,37.0,,10.3390/e21050448,,0
Hf1 Nb1 Ta1 Zr1,CAST,C,25.0,11.3,11.06162515,1,,1320.0,,,104.9436304,34.0,32.0,,Prof.Yeh-RHEA,1
Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,1,,905.0,,,107.0,50.0,,10.1016/j.msea.2015.08.024,,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,7.753,8.0,0,,293.1,626.0,,,,,10.1016/j.intermet.2019.106486,,0
Mo1 Nb1 Ta1 W1,,,1200.0,13.8,13.65986331,1,,506.0,,,250.0231927,40.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf0.5 Nb0.5 Ta0.5 Ti1.5 Zr1,,T,25.0,8.2,8.186719184,1,301.0,903.0,990.0,,103.2079302,19.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf0.5 Nb0.5 Ti2 V1 Zr1,CAST,C,25.0,6.66,6.700702897,1,,1065.0,,,100.0723702,50.0,50.0,,Prof.Yeh-RHEA,1
Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,,,,7.6,0,,,,,,48.0,,10.1016/j.scriptamat.2016.06.019,,0
Co0.25 Cr0.25 Fe1 Mn1,WROUGHT,T,25.0,,7.7,0,,512.0,978.0,,212.0,55.3,,10.1016/j.msea.2019.138039,,0
Co1 Cr1 Fe1 Mn1 Ni1,ANNEAL,C,25.0,,8.0,0,135.0,230.0,,,220.0,,,10.1016/j.jallcom.2014.12.157,,0
Nb1 Ta1 Ti1 W1,ANNEAL,C,1000.0,,12.1,1,,459.0,,,198.0,,,10.1016/j.actamat.2019.06.006,,1
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,700.0,,8.4,0,,212.0,,,202.0,,154.3,10.1016/j.scriptamat.2019.02.038,,0
Al1 Cr1 Mo1 Nb1 Ti1,ANNEAL,C,1000.0,,6.6,1,,550.0,,,,,,10.1007/s11661-017-4386-1,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,660.0,,9.9,1,,,,80.0,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Al2 Co1 Cr1 Fe1 Ni1,,,25.0,5.9,5.872861963,1,432.0,,,,160.2604035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ti1 Zr1,CAST,C,25.0,,8.4,1,351.0,1000.0,,,89.0,52.0,,10.1007/s12598-019-01310-6,,1
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,CAST,C,25.0,,5.8,2,,,1192.0,37.0,,,4.0,10.1016/j.matdes.2009.09.016,,2
Al1 Co1 Cu1 Fe1 Nd1 Ni1,CAST,,25.0,,7.0,2,578.0,,,,,,,10.1016/j.msea.2012.07.003,,2
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,CAST,C,25.0,,7.0,1,,1538.0,3176.0,,139.0,23.0,,10.1007/s11837-012-0366-5,,1
Co1 Fe1 Ni1 Si0.25,,C,25.0,7.725,7.724929168,0,149.0,195.5,,,186.1641344,,,,Prof.Yeh-3dtransitional,0
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,500.0,6.3,6.271288576,1,,1120.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Nb1 Ta1 V1 W1,CAST,C,25.0,12.6,12.88664201,1,,1530.0,,,205.5328097,12.0,12.0,,Prof.Yeh-RHEA,1
Fe1 Mn1 Ni1,,T,25.0,8.1,8.058794341,0,,221.0,602.0,,203.0095102,36.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Nb1 Ta1 Ti1 W1,ANNEAL,C,100.0,,12.1,1,,968.0,,,198.0,,,10.1016/j.actamat.2019.06.006,,1
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,800.0,,6.6,1,,860.0,1000.0,,170.0,2.0,,10.1016/j.jallcom.2015.11.050,,1
Cr1 Nb1 Ti1.89 V0.56,CAST,C,25.0,6.17,6.161703106,1,,990.0,,,142.0401973,50.0,50.0,,Prof.Yeh-RHEA,1
Mo0.1 Nb1 Ti1 V0.3,CAST,C,25.0,6.6,6.651535095,1,,932.0,,,120.4416961,45.0,45.0,,Prof.Yeh-RHEA,1
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,CAST,,25.0,,7.2,1,594.0,,,,174.0,,,10.1007/s11661-006-0081-3,,1
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.5,1,353.0,1188.0,,63.0,105.0,50.0,,10.1016/j.jallcom.2014.11.064,,1
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,CAST,C,25.0,,7.8,0,,700.0,1650.0,93.0,194.0,,29.0,10.1016/j.jallcom.2008.11.059,,0
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,C,25.0,7.455,7.458566983,0,,750.0,,102.5,189.296876,38.5,,,Prof.Yeh-3dtransitional,0
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,1000.0,,9.9,1,,814.0,,,137.0,,,10.1016/j.intermet.2015.03.013,,1
Co1 Cr1 Cu0.5 Fe1 Ni1,,,25.0,8.3,8.262106793,0,172.0,,,,214.7852899,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Cr1 Mo1 Ti1,ANNEAL,C,400.0,,6.0,1,,1070.0,,,189.0,,,10.1007/s11661-017-4386-1,,1
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,500.0,,6.3,1,,1120.0,,,156.0,,,10.1007/s11661-005-0218-9,,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,930.3,1021.0,,220.0,38.7,,10.1007/s11661-019-05231-y,,0
Mo1 Nb1 Ta1 W1,,C,25.0,13.7,13.65986331,1,454.0,1058.0,1211.0,,250.0231927,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,CAST,C,25.0,,6.9,1,,1418.0,2508.0,,138.0,24.0,,10.1007/s11837-012-0366-5,,1
Al1 Cr1 Mo1 Nb1 Ti1,,,400.0,6.6,6.565952966,1,,1080.0,,,170.0203827,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.375 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.5,0,196.0,,,,207.0,,,10.1016/j.jallcom.2009.08.090,,0
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,,,,,7.7,0,200.0,,,,214.0,,,10.1016/j.jallcom.2010.02.032,,0
Co1 Cr0.556 Fe0.667 Ni0.667,WROUGHT,T,25.0,,8.3,0,,299.0,841.0,,222.0,76.1,,10.1080/21663831.2018.1553803,,0
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,C,25.0,7.505,7.50474373,0,181.5,243.5,,,205.1766073,46.0,,,Prof.Yeh-3dtransitional,0
Nb1 Ta1 Ti1 W1,ANNEAL,C,20.0,,12.1,1,,1054.0,,,198.0,,,10.1016/j.actamat.2019.06.006,,1
Mo1 Nb1 Ti1 Zr1,CAST,C,25.0,,7.3,1,,1592.0,3450.0,,143.0,34.0,,10.1007/s11837-012-0366-5,,1
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-269.0,,8.4,1,,2210.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Mo1 Nb1 Ti1 V1 Zr1,,C,25.0,7.1,7.123122391,1,,1779.0,,,140.5476593,32.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Fe1 Ni1 Si0.25,CAST,C,25.0,,7.7,0,149.0,196.0,,,186.0,,,10.1016/j.jmmm.2014.07.023,,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,160.0,,9.9,1,,,,87.3,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Co1 Cu1 Fe1 Ni1,CAST,T,25.0,,8.6,0,,,480.0,,187.0,,15.0,10.1016/j.msea.2012.03.080,,0
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,,C,25.0,6.4,6.442487963,0,178.0,2040.0,3135.0,187.0,175.8114219,24.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,800.0,,8.4,0,,187.0,,,202.0,,119.5,10.1016/j.scriptamat.2019.02.038,,0
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,CAST,T,25.0,,7.5,0,,1253.0,1392.0,,204.0,6.78,8.2,10.1016/j.msea.2019.05.056,,0
Al2 Co1 Cr1 Fe1 Ni1,,,25.0,5.9,5.872861963,1,509.0,,,,160.2604035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo0.7 Nb1 Ti1 V0.3 Zr1,ANNEAL,C,25.0,,7.1,1,,1436.0,,,130.0,,27.0,10.1016/j.matdes.2015.06.072,,1
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-269.0,,8.4,1,,2250.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,C,25.0,8.1,8.088884841,1,490.0,1965.0,2054.0,,109.5559669,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,25.0,7.7,7.706514339,1,,1965.0,,,107.1964186,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,1150.0,,,220.0,6.0,,10.1016/j.msea.2019.04.025,,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,400.0,,9.9,1,,,,84.2,107.0,10.8,,10.1016/j.jallcom.2019.05.322,,1
Al2 Cr1 Cu1 Fe1 Ni2,,C,,,6.276084549,1,,,,,155.1631569,,,,Paper_Collection_5_element,1
Co1 Cr1 Fe1 Ni1,WROUGHT,T,-196.0,,8.2,0,,590.0,1070.0,204.0,226.0,105.0,,10.1007/s40843-018-9373-y,,0
Co1 Cr1 Fe1 Ni1,ANNEAL,T,25.0,,8.2,0,,190.0,453.0,,226.0,39.0,,10.1016/j.actamat.2015.08.076,,0
Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.8,0,,,,,190.0,,,10.1063/1.3587228,,0
Al1 Mo1 Nb1 Ti1,ANNEAL,C,1200.0,,6.5,1,,200.0,,,151.0,,,10.1007/s11661-017-4386-1,,1
Hf0.5 Ti2 V1 Zr1,CAST,C,25.0,6.47,6.498698848,1,,1160.0,,,99.54231228,50.0,50.0,,Prof.Yeh-RHEA,1
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,CAST,C,25.0,3.15,3.2,0,,534.0,,107.8,72.0,1.0,,10.1038/s41598-019-43329-w,,0
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,,C,25.0,7.8,7.821724444,0,,700.0,1650.0,198.0,194.1167208,22.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,CAST,C,25.0,3.06,3.1,0,,490.0,,78.4,75.0,6.0,,10.1038/s41598-019-43329-w,,0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,C,25.0,,8.0,0,394.1,1150.0,,,220.0,1.1,,10.1016/j.scriptamat.2018.11.042,,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,0,225.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Mo1 Nb1 Ti1 Zr1,,C,25.0,7.3,7.308611099,1,,1592.0,3450.0,,142.8743035,34.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,140.0,,9.9,1,,,,87.5,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Cr1 Mo1 Nb1 Ti1,ANNEAL,C,20.0,,7.6,1,,1630.0,,,196.0,,,10.1016/j.actamat.2019.06.006,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,,,7.6,0,160.0,,,,189.0,,,10.1016/j.vacuum.2018.12.009,,0
Mo0.3 Nb1 Ti1 V0.3,,C,25.0,6.8,6.902084765,1,,1312.0,,,135.0516804,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Ni1,WROUGHT,T,-223.0,,8.2,0,,,1152.0,,226.0,80.0,,10.1007/s40843-018-9373-y,,0
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,1000.0,,6.6,1,,594.0,630.0,,170.0,15.0,,10.1016/j.jallcom.2015.11.050,,1
Nb1 Ta1 Ti1 V1,,C,25.0,9.2,9.169851378,1,,1092.0,,134.0,134.2138287,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Nb1 Ta1 Ti1,CAST,C,20.0,,8.2,1,,1152.0,,,120.0,,,10.1016/j.actamat.2019.06.006,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,320.0,,9.9,1,,,,85.5,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Al0.195 Mo0.07 Nb0.215 Ti0.185 V0.24 Zr0.095,CAST,C,25.0,5.97,6.029984581,2,,1209.0,,,114.4923257,1.0,1.0,,Prof.Yeh-RHEA,2
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,T,25.0,,8.3,0,,,838.0,,232.0,43.0,,10.3390/e21050448,,0
Mo1.5 Nb1 Ti1 V1 Zr1,,C,25.0,7.4,7.374721493,1,,1603.0,,,155.8178991,20.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,,,25.0,,5.4,1,644.0,,,,136.0,,,10.3166/acsm.31.633-648,,1
Hf1 Ti1 Zr1,CAST,C,25.0,,8.3,2,211.0,773.0,,,,17.0,,10.1007/s00339-019-2484-1,,2
Al1 Cr1 Mo1 Ti1,ANNEAL,C,25.0,6.64,5.980795667,1,,1060.0,,,188.9242953,,,,Prof.Yeh-RHEA,1
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,T,25.0,7.5,7.50474373,0,182.0,244.0,,,205.1766073,45.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Nb1 Ta1 Ti1 V1,,C,25.0,7.9,7.891870036,1,,993.0,,121.0,121.5333728,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Cr1 Mo1 Nb1 Ti1,ANNEAL,C,400.0,,7.6,1,,1115.0,,,196.0,,,10.1016/j.actamat.2019.06.006,,1
Co1 Cu1 Fe1 Mn1 Ni1,,T,25.0,8.4,8.387119793,0,208.0,,478.0,,189.2450445,14.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,800.0,,10.2,1,,1045.0,1446.0,,143.0,,,10.1016/j.intermet.2015.03.013,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,800.0,,9.9,1,,,,78.1,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Co1 Cr1 Fe1 Ni1,ANNEAL,C,,,8.175043328,2,207.0,,,,225.7139231,,,,Paper_Collection_4_element,2
Al1 Cr0.5 Nb1 Ti1 V1,ANNEAL,C,600.0,,5.6,1,,1005.0,1045.0,,119.0,,,10.1016/j.jallcom.2015.08.224,,1
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,WROUGHT,T,25.0,,8.6,0,,439.0,,,231.0,63.0,,10.1016/j.ijplas.2018.10.005,,0
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,,,,,5.9,1,733.0,,,,160.0,,,10.1016/j.intermet.2012.03.005,,1
Mo1 Nb1 Ta1 W1,,,800.0,13.8,13.65986331,1,,552.0,,,250.0231927,40.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 Ti1 V1,CAST,C,25.0,9.29,9.368307877,1,,1400.0,,,170.7411036,33.0,33.0,,Prof.Yeh-RHEA,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,2,300.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,1200.0,10.91,11.0,1,,659.0,,,209.0,,,10.1016/j.actamat.2019.06.032,,1
Co1 Cr1 Fe1 Ni1,,,25.0,8.2,8.175043328,0,113.0,,,,225.7139231,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,1,,1251.0,2004.0,,,1.0,,10.1016/j.msea.2008.01.064,,1
Mo1 Nb1 Ti1 V1.0 Zr1,,C,25.0,7.1,7.123122391,1,,1786.0,3828.0,,140.5476593,26.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,1000.0,10.91,11.0,1,,753.0,,,209.0,,,10.1016/j.actamat.2019.06.032,,1
Mo1 Nb1 Ti1 V0.50 Zr1,CAST,C,25.0,7.205,7.207997756,1,,1650.0,,,141.6122782,28.1,18.0,,Prof.Yeh-RHEA,1
Mo1 Nb1 Ta1 W1,CAST,C,1000.0,,13.7,1,,548.0,,,250.0,40.0,,10.1016/j.intermet.2011.01.004,,1
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.3,9.091430053,1,427.0,1415.0,,102.0,102.7968193,30.0,30.0,,Prof.Yeh-RHEA,1
Nb1 Ta1 Ti1 V1 W1,CAST,C,25.0,11.0,11.10562283,1,,1420.0,,,186.5220515,20.0,16.0,,Prof.Yeh-RHEA,1
Co1 Fe1 Ni1,CAST,C,25.0,,8.5,0,125.0,204.0,,,207.0,,,10.1016/j.jmmm.2014.07.023,,0
Al0.5 Co1 Cr1 Cu1 Fe1,,,25.0,7.4,7.365893181,0,207.0,,,,186.7519637,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co1 Cr1 Ni1,,T,25.0,8.3,8.278316008,0,,300.0,860.0,,230.8052709,60.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Mo1 Nb1 Ta1 Ti0.5 W1,CAST,C,25.0,12.7,12.59689771,1,,1210.0,,,234.47241,5.9,5.9,,Prof.Yeh-RHEA,1
Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.9,9.893530612,1,390.0,929.0,,,106.9115089,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 Ti1 W1,,C,25.0,,11.75495916,1,507.5,1455.0,1910.0,,222.155169,11.5,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.15 Hf0.15 Nb0.3 Ti0.4,ANNEAL,C,25.0,7.07,7.062829579,2,,830.0,,,99.54532257,50.0,50.0,,Prof.Yeh-RHEA,2
Mo1 Nb1 Ta1 Ti1,ANNEAL,C,300.0,,10.0,1,,732.0,,,179.0,,,10.1016/j.actamat.2019.06.006,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V2.0,,,25.0,7.2,7.178900485,1,587.0,,,,170.9463874,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Mo0.5 Nb1 Ti1 V0.5,CAST,C,1200.0,8.96,9.0,1,,60.0,,,126.0,,,10.1016/j.actamat.2019.06.032,,1
Al1 Cr0.5 Nb1 Ti1 V1,ANNEAL,C,25.0,5.6,5.637471918,1,,1300.0,1430.0,124.0,118.5332335,1.0,1.0,,Prof.Yeh-RHEA,1
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,T,25.0,,8.3,0,,,823.0,,232.0,36.0,,10.3390/e21050448,,0
Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,0,,460.0,599.0,182.0,203.0,25.0,,10.1016/j.actamat.2019.04.017,,0
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,CAST,C,25.0,,6.8,1,569.0,1641.0,3285.0,,182.0,,17.0,10.1016/j.msea.2011.10.110,,1
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,,1051.0,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Fe1 Mn1 Ni1,,T,25.0,8.2,8.245835379,0,,170.0,550.0,,204.4519856,41.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,243.0,558.0,,220.0,56.0,,10.1080/02670836.2017.1342367,,0
Mo1 Nb1 Ta1 V1 W1,,C,25.0,12.4,12.37616704,1,536.0,1246.0,1270.0,,229.2405322,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Fe1 Ni1,WROUGHT,T,25.0,,8.5,0,,,,161.0,207.0,44.5,,10.1016/j.actamat.2019.04.017,,0
Mo1 Nb1 Ta1 Ti1 W1,CAST,C,600.0,,11.8,1,,689.0,1681.0,,222.0,,,10.1016/j.intermet.2017.01.007,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,80.0,,9.9,1,,,,88.1,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-153.0,,8.4,1,,1550.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,25.0,,10.2,1,542.0,1600.0,1743.0,,143.0,,,10.1016/j.intermet.2015.03.013,,1
