FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Co0.875 Cr0.625 Fe1 Ni1,WROUGHT,T,25.0,,8.3,0,,241.0,721.0,,220.0,96.2,,10.1080/21663831.2018.1553803,,0
Al0.375 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.5,0,131.0,,,,207.0,,,10.1016/j.jallcom.2009.08.090,,0
Mo1 Nb1 Ta1 W1,CAST,C,1400.0,,13.7,1,,421.0,,,250.0,40.0,,10.1016/j.intermet.2011.01.004,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,300.0,7.6,7.621679625,0,,411.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Co1 Cr1 Fe1 Ni1,,,,,6.7,1,500.0,,,,184.0,,,10.1016/j.intermet.2012.03.005,,1
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,,C,25.0,7.8,7.824929394,0,186.0,620.0,,,210.1041187,75.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,400.0,,6.6,1,,1080.0,1100.0,,170.0,2.0,,10.1016/j.jallcom.2015.11.050,,1
Al8 Co20 Cr18 Fe9 Nb4 Ni41,ANNEAL,C,,,7.783905237,0,,,,,196.765211,,,,Paper_Collection_6_element,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,900.0,7.6,7.621679625,0,,230.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,8.3,0,286.0,,,,,,,10.1016/j.jallcom.2008.07.124,,0
Al1 Nb1 Ti1 V1,ANNEAL,C,1000.0,,5.5,1,,158.0,,,,,,10.1016/j.matlet.2014.11.162,,1
Mo1 Nb1 Ta1 W1,CAST,C,1200.0,,13.7,1,,506.0,,,250.0,40.0,,10.1016/j.intermet.2011.01.004,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,500.0,7.6,7.621679625,0,,421.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Mo1 Ta1 Ti1 V1,CAST,C,25.0,,9.6,1,,1221.0,1454.0,,189.0,,,10.4028/www.scientific.net/MSF.898.638,,1
Co1 Cr1 Fe1 Mn1 Ni1,POWDER,,,,8.0,0,,,,,220.0,47.0,,10.1016/j.jallcom.2018.11.181,,0
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,,C,25.0,7.825,7.821724444,0,,700.0,,93.1,194.1167208,21.6,,,Prof.Yeh-3dtransitional,0
Mo0.7 Nb1 Ti1 V1 Zr1,ANNEAL,C,25.0,,6.9,1,,1706.0,,,130.0,,32.0,10.1016/j.matdes.2015.06.072,,1
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,1000.0,10.18,10.2,1,,855.0,,,143.0,,,10.1016/j.actamat.2019.06.032,,1
Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,0,,330.0,553.0,223.0,213.0,101.0,,10.1016/j.actamat.2019.04.017,,0
Co1 Cr1 Fe1 Ni1 Ti0.3,WROUGHT,,,,7.8,0,185.0,,,,214.0,,,10.1016/j.msea.2019.138181,,0
Al1 Nb1 Ti1 V1,ANNEAL,C,800.0,,5.5,1,,685.0,,,,,,10.1016/j.matlet.2014.11.162,,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,1241.81,1325.0,,220.0,26.3,,10.1007/s11661-019-05231-y,,0
Nb1 Ta1 Ti1 Zr1,CAST,T,25.0,,8.9,1,358.0,1144.0,1205.0,98.0,115.0,6.4,,10.3390/e21020114,,1
Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,8.2,0,,,,,226.0,,,10.1016/j.jallcom.2013.12.210,,0
Co1 Cr1 Fe1 Ni1,,T,25.0,8.2,8.175043328,0,,148.0,413.0,,225.7139231,48.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,840.0,,9.9,1,,,,77.4,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Nb1 Ta1 Ti1,WROUGHT,C,100.0,,10.0,1,,486.0,,,136.0,,,10.1016/j.actamat.2019.06.006,,1
