FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,580.0,,9.9,1,,,,81.0,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Al0.255 Hf0.06 Nb0.205 Ti0.09 V0.34 Zr0.05,CAST,C,25.0,6.0,6.242562835,2,,1495.0,,,98.90261279,1.0,1.0,,Prof.Yeh-RHEA,2
Mo1 Nb1 Ta1 Ti1 W1,CAST,,,,11.8,1,446.0,,,,222.0,,,10.1016/j.matdes.2018.06.003,,1
Mo1 Nb1 Ti1 V3.0 Zr1,CAST,C,25.0,6.885,6.884746957,1,,1420.0,,,137.55764,23.6,16.4,,Prof.Yeh-RHEA,1
Co1 Cr1 Fe1 Mn1 Ni1,ANNEAL,C,25.0,,8.0,0,,230.0,,,220.0,,75.0,10.1134/S0031918X17060084,,0
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,,T,25.0,8.4,8.371893016,0,192.0,,465.0,,187.3172383,18.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Mo1 Nb1 Ti1,ANNEAL,C,23.0,6.46,6.5,1,,1100.0,,,151.0,,,10.1016/j.actamat.2019.06.032,,1
Al1 Nb1 Ti1 V1,,C,25.0,5.5,5.496265861,1,448.0,1020.0,1318.0,,103.9545112,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Mo1 Nb1 Ti1 Zr1,,,800.0,8.7,8.685086263,1,,825.0,,,127.9212828,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.75 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,6.6,1,517.0,1260.0,1300.0,,151.0,8.0,,10.3390/e16020870,,1
Hf1 Nb1 Ti1 Zr1,CAST,C,1000.0,,8.4,1,,154.0,,,89.0,51.0,,10.1007/s12598-019-01310-6,,1
Nb1 Ti1 V1 Zr1,,,1000.0,6.3,6.458317279,1,,58.0,,,100.1988131,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,,,,7.6,0,117.0,,,,210.0,,,10.1016/j.matdes.2019.107698,,0
Co1 Cu1 Fe1 Mn1 Ni1,CAST,,800.0,,8.4,0,,,,,189.0,,14.0,10.1016/j.msea.2019.04.096,,0
Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,1,335.0,1015.0,,85.0,,1.7,,10.1016/j.matlet.2016.03.133,,1
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,25.0,,8.4,1,,1100.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
