FORMULA,Process Method,Measurement Method,Measuremet T (Â°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Al0.774Fe1Mn0.903Ni0.484Ti0.097,CAST,,,,6.2,,500.0,,,,,,,10.1155/2019/2157592,
Al0.774Fe1Mn0.903Ni0.484Ti0.097,ANNEAL,,,,6.2,,495.0,,,,,,,10.1155/2019/2157592,
Al0.774Fe1Mn0.903Ni0.484Ti0.097,ANNEAL,,,,6.2,,490.0,,,,,,,10.1155/2019/2157592,
Al0.7Co0.3Cr1Fe1Ni1,POWDER,C,25.0,,6.8,FCC+BCC+B2,624.0,2033.0,2635.0,,,8.0,,10.1016/j.matdes.2013.04.061,
Al0.7Co0.3Cr1Fe1Ni1,,C,25.0,6.8,6.79019543,FCC+BCC+B2,624.0,2033.0,2635.0,,191.8815486,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.7Co0.3Cr1Fe1Ni1,"Mechanical alloying + Spark plasma Sintering, 1000℃/30MPa/8min",C,23.0,,6.79019543,FCC+Sec.+B2,624,2033.0,2635.0,,191.8815486,,,,Paper_Collection_5_element
Al0.7Co0.3Cr1Fe1Ni1,,C,25.0,6.79,6.79019543,Other,624.0,2030.0,,,191.8815486,8.12,,,Prof.Yeh-3dtransitional
Al0.7Co1Cr1Fe1Mn1Ni1,CAST,C,25.0,,7.1,FCC+BCC,622.0,2230.0,,,,,1.69,10.1016/j.jallcom.2018.10.168,
Al0.7Co1Cr1Fe2Ni1,VAM,C,23.0,,7.204218191,FCC+BCC+B2,,866.0,1223.0,,197.0525558,7.9,,,Paper_Collection_5_element
Al0.7Co1Cr1Fe2Ni1,VAM,C,650.0,,7.204218191,Other,,468.0,468.0,,197.0525558,6.3,,,Paper_Collection_5_element
Al0.7Co1Cr1Fe2Ni1,VAM,C,700.0,,7.204218191,Other,,340.0,340.0,,197.0525558,5.5,,,Paper_Collection_5_element
Al0.7Co1Cr1Fe2Ni1,VAM,C,23.0,,7.204218191,Other,,1166.0,1945.0,,197.0525558,30.2,,,Paper_Collection_5_element
Al0.7Co1Cr1Fe1Ni1,"VAM + HIP, 1250℃/1000h ",C,,,7.06636125,FCC+Sec.+B2,,,,,194.1928861,,,,Paper_Collection_5_element
Al0.7Co1Cr1Fe1Ni1,"VAM + Aged, 900℃/2h",C,,,7.06636125,FCC+B2+Sec.,,,,,194.1928861,,,,Paper_Collection_5_element
Al0.7Co1Cr1Fe1Ni1.3,3D printing,C,,,7.165872255,FCC+B2,271 ± 29.2,,,,194.5069344,,,,Paper_Collection_5_element
Al0.7Co1Cr1Fe1Ni1.3,"3D printing + Aged, 1000℃/100h",,,,,,273 ± 6.2,,,,,,,,Paper_Collection_5_element
Al0.7Co1Cr1Fe1Ni1.4,OTHER,C,,,7.196693143,FCC+L12,273.0,,,,194.6042025,,,,Paper_Collection_5_element
Al0.7Cr1Fe1Mn1Ni1,CAST,C,25.0,,6.8,BCC+B2,375.0,1170.0,,,,55.0,,10.1016/j.msea.2019.04.104,
Al0.7Cr1Cu1Fe1Ni2,VAM,C,,,7.393919179,FCC,275,,,,181.7702475,,,,Paper_Collection_5_element
Al0.81Co1Cr1Fe1Mn1Ni1,CAST,,25.0,,7.0,FCC+BCC,539.0,,,,,,,10.1016/j.actamat.2013.09.037,
Al0.81Co1Cr1Fe1Mn1Ni1,,,25.0,7.0,7.024419853,FCC+BCC,539.0,,,,191.6683709,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.833Cr0.833Cu0.833Fe0.833Ni1,ANNEAL,,25.0,,6.8,FCC+BCC,407.0,,,,,,,10.1016/j.msea.2011.11.063,
Al0.853Co0.647Cr1Fe0.147Ni0.294,,,,,6.0,,699.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al0.875Co1Cr1Fe1Ni1,ANNEAL,,25.0,,6.9,BCC,538.0,,,,188.0,,,10.1016/j.jallcom.2009.08.090,
Al0.875Co1Cr1Fe1Ni1,ANNEAL,,25.0,,6.9,FCC+BCC,361.0,,,,,,,10.1016/j.jallcom.2009.08.090,
Al0.875Co1Cr1Fe1Ni1,,,25.0,,6.9,FCC+BCC,,,,,,,,10.1016/C2013-0-14235-3,
Al0.875Co1Cr1Fe1Ni1,,,25.0,6.9,6.855946636,FCC+BCC,,,,,188.2105698,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.875Co1Cr1Fe1Ni1,,,25.0,6.9,6.855946636,BCC,538.0,,,,188.2105698,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.875Co1Cr1Fe1Ni1,,,25.0,6.9,6.855946636,FCC+BCC,361.0,,,,188.2105698,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.875Co1Cr1Fe1Ni1,VAM + 1100℃/24h/WQ,C,,,6.855946636,FCC+BCC,,,,,188.2105698,,,,Paper_Collection_5_element
Al0.875Co1Cr1Fe1Ni1.125,VAM,C,,,6.901408775,BCC,538 ± 12,,,,188.4719577,,,,Paper_Collection_5_element
Al0.875Co1Cr1Fe1Ni1.125,"VAM + Homogenized, 1100℃/24h",,,,,,361 ± 7,,,,,,,,Paper_Collection_5_element
Al0.875Co1Cr1Fe1Ni1.125,"VAM + Homogenized, 1100℃/24h + CR50%",,,,,,497 ± 7,,,,,,,,Paper_Collection_5_element
Al0.875Co1Cr1Fe1Ni1.126,OTHER,C,,,6.901764345,FCC+BCC,361.0,,,,188.4740021,,,,Paper_Collection_5_element
Al0.875Co1Cr1Fe1Ni1.127,OTHER,C,,,6.90211979,FCC+BCC,497.0,,,,188.4760458,,,,Paper_Collection_5_element
Al0.885Cr1Fe1Ni1,CAST,C,25.0,,6.4,BCC+B2,,770.0,,,,37.1,,10.1016/j.msea.2016.11.019,
Al0.88Co1Cr1Fe1Mn1Ni1,CAST,,25.0,,7.0,FCC+BCC,533.0,,,,,,,10.1016/j.actamat.2013.09.037,
Al0.88Co1Cr1Fe1Mn1Ni1,,,25.0,7.0,6.955167939,FCC+BCC,533.0,,,,189.7207866,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.8Co1Cr1Cu1Fe1,,,25.0,,7.0,FCC+BCC,271.0,,,,,,,10.3166/acsm.31.633-648,
Al0.8Co1Cr1Cu1Fe1Ni1,CAST,,25.0,,7.3,FCC+BCC,270.0,,,,,,,10.1002/adem.200900171,
Al0.8Co1Cr1Fe1Ni1Ti0.2,,C,25.0,,6.8,,,968.0,,,,30.1,,10.1016/j.jallcom.2018.01.247,
Al0.8Co1Cr1Cu1Fe1,,,25.0,7.0,6.977992407,FCC+BCC,271.0,,,,177.0495845,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.8Co1Cr1Cu1Fe1Ni1,,,25.0,7.3,7.275683436,FCC+BCC,270.0,,,,180.5924104,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.8Co1Cr1Cu1Fe1Ni1,,,25.0,7.3,7.275683436,FCC,270.0,,,,180.5924104,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.8Cr1Fe1Mn1Ni1,CAST,C,25.0,,6.7,BCC+B2,386.0,1200.0,,,,55.0,,10.1016/j.msea.2019.04.104,
Al0.8Cr1Cu1Fe1Ni2,,,25.0,7.3,7.283715815,FCC,,,,,179.1471486,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.8Cr1Cu1Fe1Ni2,VAM,C,,,7.283715815,FCC+B2,315,,,,179.1471486,,,,Paper_Collection_5_element
Al0.8Cr1Fe1.5Mn1Ni0.5,VAM,C,,,6.618284741,BCC,,,,,189.9604218,,,,Paper_Collection_5_element
Al0.8Cr1Fe1.5Mn1Ni0.5,"VAM + Aged, 700℃/20h",C,,,6.618284741,BCC,,,,,189.9604218,,,,Paper_Collection_5_element
Al0.947Co0.158Mo1Ni0.289W0.237,CAST,,25.0,,8.0,,725.0,,,,,,,10.1038/s41467-019-10533-1,
Al0.95Co1Cr1Fe1Mn1Ni1,CAST,,25.0,,6.9,FCC+BCC,535.0,,,,,,,10.1016/j.actamat.2013.09.037,
Al0.95Co1Cr1Fe1Mn1Ni1,,,25.0,6.9,6.888098169,FCC+BCC,535.0,,,,187.8345712,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.9Co1Cr1Fe1Ni1,CAST,,,,6.8,FCC+BCC+B2,511.0,,,,,,,10.1016/j.matdes.2019.107698,
Al0.9Co1Cr1Fe1Ni1Ti0.5,CAST,,,,6.5,BCC+B2+Sec.,623.0,,,,,,,10.1016/j.matdes.2019.107698,
Al0.9Co1Cr1Fe1Ni1,"VAM + Aged, 900℃/2h",C,,,6.827530884,FCC+B2,,,,,187.4026791,,,,Paper_Collection_5_element
Al1.0Co1Cr1Cu1Fe1Ni1,,C,25.0,7.075,7.07082644,FCC+BCC,406.0,950.0,,,175.6430969,,,,Prof.Yeh-3dtransitional
Al1.0Co1Cr1Fe1Ni1Ti0.5,,C,25.0,6.445,6.442487963,FCC+BCC,178.0,2040.0,,72.5,175.8114219,24.2,,,Prof.Yeh-3dtransitional
Al1.0Co1Fe1Ni1,,C,25.0,6.605,6.604716099,BCC,455.5,963.5,,,161.7140033,,,,Prof.Yeh-3dtransitional
Al1.125Cu1Fe0.75Ni1Ti1.125,,C,25.0,5.9,5.879319466,FCC,516.0,980.0,1326.0,140.0,131.1704646,7.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.125Cu1Fe0.75Ni1Ti1.125,,C,25.0,5.885,5.879319466,FCC,516.0,980.0,,145.0,131.1704646,6.6,,,Prof.Yeh-3dtransitional
Al1.25Co1Cr1Fe1Mn1Ni1,,,25.0,6.6,6.623079554,BCC,539.0,,,,180.3814042,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.25Co1Cr1Fe1Ni1,,,25.0,6.5,6.466931593,BCC,487.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.25Co1Cr1Fe1Ni1,,,25.0,6.5,6.466931593,BCC,499.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.25Co1Cr1Fe1Ni1,VAM + 1100℃/24h/WQ,C,,,6.466931593,BCC,,,,,177.1504491,,,,Paper_Collection_5_element
Al1.25Co1Cr1Fe1Ni0.75,VAM,C,,,6.362356554,BCC,487 ± 19,,,,176.1709491,,,,Paper_Collection_5_element
Al1.25Co1Cr1Fe1Ni0.75,"VAM + Homogenized, 1100℃/24h",,,,,,499 ± 23,,,,,,,,Paper_Collection_5_element
Al1.25Co1Cr1Fe1Ni0.76,OTHER,C,,,6.366711402,BCC,499.0,,,,176.2117387,,,,Paper_Collection_5_element
Al1.2Co1Cr1Fe1Ni1,"VAM + Aged, 1100℃/24h/WQ",C,,,6.514541216,BCC,,,,,178.5040424,,,,Paper_Collection_5_element
Al1.2Cr1Cu1Fe1Ni2,,,25.0,6.9,6.890189794,FCC+BCC,,,,,169.7803047,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.2Cr1Cu1Fe1Ni2,VAM,C,,,6.890189794,FCC+B2,520,,,,169.7803047,,,,Paper_Collection_5_element
Al1.2Cr1Fe1.5Mn1Ni0.5,VAM,C,,,6.231206895,BCC,,,,,178.1154036,,,,Paper_Collection_5_element
Al1.2Cr1Fe1.5Mn1Ni0.5,"VAM + Aged, 700℃/20h",C,,,6.231206895,BCC,,,,,178.1154036,,,,Paper_Collection_5_element
Al1.3Co1Cr1Cu1Fe1,,,25.0,6.5,6.457330783,FCC+BCC,476.0,,,,164.0265207,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.3Co1Cr1Cu1Fe1Ni1,,,25.0,6.8,6.795757919,FCC+BCC,470.0,,,,168.9974837,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5Co1Cr1Cu1Fe1,,,25.0,6.3,6.282891019,FCC+BCC,510.0,,,,159.6633411,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5Co1Cr1Cu1Fe1Ni1,,,25.0,6.6,6.630831212,FCC+BCC,506.0,,,174.0,165.0128799,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5Co1Cr1Fe1Mo0.5Ni1,,,25.0,6.6,6.64078703,BCC+Sec.,655.0,,,,186.5496086,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5Co1Cr1Fe1Mo0.5Ni1,VAM,C,,,6.64078703,B2+Sec.,665,,,,186.5496086,,,,Paper_Collection_6_element
Al1.5Co1Cr1Fe1Mo1Ni1,VAM,C,,,6.964588201,B2+Sec.,,,,,199.4074288,,,,Paper_Collection_6_element
Al1.5Co1Cr1Fe1Ni1,,,25.0,6.2,6.245655305,BCC,484.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5Co1Cr1Fe1Ni1,,,25.0,6.2,6.245655305,BCC,517.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5Co1Cr1Fe1Ni1,,,25.0,6.2,6.245655305,BCC,402.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5Co1Cr1Fe1Ni1,"VAM + Aged, 900℃/2h",C,,,6.245655305,Other+B2,,,,,170.8593236,,,,Paper_Collection_5_element
Al1.5Co1Cr1Fe1Ni1,VAM + 1100℃/24h/WQ,C,,,6.245655305,BCC,,,,,170.8593236,,,,Paper_Collection_5_element
Al1.5Co1Cr1Fe1Ni1,VAM,C,,,6.245655305,BCC,402.0,,,,170.8593236,,,,Paper_Collection_5_element
Al1.5Co1Cr1Fe1Ni1,VAM,C,,,6.245655305,B2,,,,,170.8593236,,,,Paper_Collection_5_element
Al1.5Co1Cr1Fe1Ni0.5,VAM,C,,,6.022484483,BCC,484 ± 5,,,,168.4151712,,,,Paper_Collection_5_element
Al1.5Co1Cr1Fe1Ni0.5,"VAM + Homogenized, 1100℃/24h",,,,,,517 ± 21,,,,,,,,Paper_Collection_5_element
Al1.5Co1Cr1Fe1Ni0.6,OTHER,C,,,6.070064162,BCC,517.0,,,,168.9362608,,,,Paper_Collection_5_element
Al1.5Co1Cr1Fe1Ni1Ti1,,C,25.0,5.9,5.896411178,BCC,,,2110.0,172.0,159.8915821,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5Co1Cr1Fe1Ni1Ti1,VAM,C,,,5.896411178,BCC,,,,,159.8915821,,,,Paper_Collection_6_element
Al1.5Co1Cr1Fe1Ni1Ti1,VAM + 1000℃/2h,C,,,5.896411178,BCC,,,,,159.8915821,,,,Paper_Collection_6_element
Al1.5Cr1Cu1Fe1Ni2,VAM,C,,,6.636690343,FCC+B2,550.0,,,,163.7464221,,,,Paper_Collection_5_element
Al1.5Cr1Cu1Fe1Ni2,,C,,,6.636690343,FCC+B2,,,,,163.7464221,,,,Paper_Collection_5_element
Al1.71Co1Cr1Fe1Ni1,"VAM + Anneal, 700℃/1000h",C,,,6.078919561,BCC+B2,,,,,166.1188451,,,,Paper_Collection_5_element
Al1.71Co1Cr1Fe1Ni1,"VAM + Anneal, 1050℃/520h",C,,,6.078919561,BCC+B2,,,,,166.1188451,,,,Paper_Collection_5_element
Al1.7Co1Cr1Fe1Ni0.3,3D printing,C,,,5.761026112,Other+B2,649 ± 30.4,,,,162.4487702,,,,Paper_Collection_5_element
Al1.7Co1Cr1Fe1Ni0.3,"3D printing + Aged, 1000℃/100h",C,,,5.761026112,Other+B2,651 ± 17.6,,,,162.4487702,,,,Paper_Collection_5_element
Al1.8Co1Cr1Cu1Fe1,,,25.0,6.0,6.049610943,FCC+BCC,557.0,,,,153.8284165,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.8Co1Cr1Cu1Fe1Ni1,,,25.0,6.4,6.406917147,FCC+BCC,650.0,,,,159.6031505,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.8Cr1Cu1Fe1Ni2,VAM,C,,,6.412101682,Other+B2,555,,,,158.4006843,,,,Paper_Collection_5_element
Al10.2Co17Cr7.5Fe9Mo0.9Nb1.2Ni48Ti5.8W0.4,VAM + VIM + DS + 1210℃/10h + 1000℃/3h + 800℃/20h,C,,,7.514674853,FCC+Sec.,,,,,184.0040465,,,,Paper_Collection_7_element
Al10.3Co17Cr7.5Fe9Mo0.8Ni48.6Ta0.6Ti5.8W0.4,VAM + VIM + DS + 1210℃/10h + 1000℃/3h + 800℃/20h,C,23.0,,7.574551909,FCC+Sec.,412,,,,185.1657911,,,,Paper_Collection_7_element
Al10.3Co17Cr7.5Fe9Mo0.8Ni48.6Ta0.6Ti5.8W0.4,VAM + VIM + DS + 1210℃/10h + 1000℃/3h + 800℃/20h,C,500.0,,7.574551909,FCC+Sec.,377,,,,185.1657911,,,,Paper_Collection_7_element
Al10.3Co17Cr7.5Fe9Mo0.8Ni48.6Ta0.6Ti5.8W0.4,VAM + VIM + DS + 1210℃/10h + 1000℃/3h + 800℃/20h,C,700.0,,7.574551909,FCC+Sec.,354,,,,185.1657911,,,,Paper_Collection_7_element
Al10.3Co17Cr7.5Fe9Mo0.8Ni48.6Ta0.6Ti5.8W0.4,VAM + VIM + DS + 1210℃/10h + 1000℃/3h + 800℃/20h,C,800.0,,7.574551909,FCC+Sec.,338,,,,185.1657911,,,,Paper_Collection_7_element
Al10.3Co17Cr7.5Fe9Mo0.8Ni48.6Ta0.6Ti5.8W0.4,VAM + VIM + DS + 1210℃/10h + 1000℃/3h + 800℃/20h,C,900.0,,7.574551909,FCC+Sec.,307,,,,185.1657911,,,,Paper_Collection_7_element
Al10.3Co17Cr7.5Fe9Mo0.8Ni48.6Ta0.6Ti5.8W0.4,"VAM + VIM + DS + Aged, 1050℃/500h",,,,,,,,,,,,,,Paper_Collection_7_element
Al10.3Co17Cr7.5Fe9Mo0.8Ni48.6Ta0.6Ti5.8W0.4,VAM + VIM + DS + 1210℃/10h + 1000℃/3h + 800℃/20h + 700℃/1000h,,,,,,,,,,,,,,Paper_Collection_7_element
Al10.3Co17Cr7.5Fe9Mo0.8Ni48.6Ta0.6Ti5.8W0.4,VAM + VIM + DS + 1210℃/10h + 1000℃/3h + 800℃/20h + 900℃/500h,,,,,,,,,,,,,,Paper_Collection_7_element
Al10.3Co17Cr7.5Fe9Mo0.8Ni48.6Ta0.6Ti5.8W0.4,VAM + VIM + DS + 1210℃/10h + 1000℃/3h + 800℃/20h + 1100℃/500h,,,,,,,,,,,,,,Paper_Collection_7_element
Al10Ce57Cu15.5Nb5Ni12.5,VAM,C,,,6.840877676,Other,,,,,54.77151619,,,,Paper_Collection_5_element
Al10Ce60Cu20Ni10,VAM,C,,,6.798728226,Other,,,,,52.19335269,,,,Paper_Collection_4_element
Al10Ce65Cu10Nb5Ni10,VAM,C,,,6.763008121,Other,,,,,49.40932152,,,,Paper_Collection_5_element
Al10Ce70Cu10Ni10,VAM,C,,,6.705233125,Other,,,,,46.67726814,,,,Paper_Collection_4_element
Al10Co13.8Cr6.3Fe4.9Ni58.2Ti6.8,VAM + 1250℃/10h + 1050℃/2h + 800℃/20h,C,,,7.450655273,FCC+Sec.,,,,,180.4063134,,,,Paper_Collection_6_element
Al10Co13.8Cr6.3Fe4.9Ni58.2Ti6.8,VAM + 1250℃/10h + 1050℃/2h + 800℃/20h + 900℃/300h,C,,,7.450655273,Other,,,,,180.4063134,,,,Paper_Collection_6_element
Al10Co25Cr8Fe15Ni36Ti6,VIM + DS + 1220℃/20h + 900℃/5h,C,23.0,,7.372685802,FCC+Sec.+B2,,568.0,786.0,,184.8056064,12.0,,,Paper_Collection_6_element
Al10Co25Cr8Fe15Ni36Ti6,VIM + DS + 1220℃/20h + 900℃/5h,C,600.0,,7.372685802,FCC+Sec.,,501.0,674.0,,184.8056064,26.0,,,Paper_Collection_6_element
Al10Co25Cr8Fe15Ni36Ti6,VIM + DS + 1220℃/20h + 900℃/5h,C,700.0,,7.372685802,FCC+Sec.,,487.0,702.0,,184.8056064,18.0,,,Paper_Collection_6_element
Al10Co25Cr8Fe15Ni36Ti6,VIM + DS + 1220℃/20h + 900℃/5h,C,800.0,,7.372685802,FCC+Sec.,,535.0,672.0,,184.8056064,27.0,,,Paper_Collection_6_element
Al10Co25Cr8Fe15Ni36Ti6,VIM + DS + 1220℃/20h + 900℃/5h,C,1000.0,,7.372685802,FCC+Sec.,,,148.0,,184.8056064,92.0,,,Paper_Collection_6_element
Al10Co25Cr8Fe15Ni36Ti6,VIM + DS + 1220℃/20h + 900℃/50h,C,23.0,,7.372685802,FCC+Sec.,,596.0,1039.0,,184.8056064,20.0,,,Paper_Collection_6_element
Al10Co25Cr8Fe15Ni36Ti6,VIM + DS + 1220℃/20h + 900℃/50h,C,600.0,,7.372685802,FCC+Sec.,,509.0,809.0,,184.8056064,27.0,,,Paper_Collection_6_element
Al10Co25Cr8Fe15Ni36Ti6,VIM + DS + 1220℃/20h + 900℃/50h,C,700.0,,7.372685802,FCC+Sec.,,486.0,624.0,,184.8056064,11.0,,,Paper_Collection_6_element
Al10Co25Cr8Fe15Ni36Ti6,VIM + DS + 1220℃/20h + 900℃/50h,C,800.0,,7.372685802,FCC+Sec.,,581.0,687.0,,184.8056064,9.0,,,Paper_Collection_6_element
Al10Cu5Ni40Ti16.5Zr28.5,VAM,C,,,6.491943677,Other,800,,,,114.8306647,,,,Paper_Collection_5_element
Al10Cu5Ni40Ti17Zr28,VAM,C,,,6.480934809,Other,862,,,,115.1745957,,,,Paper_Collection_5_element
Al10Cu6Ni40Si0.5Ti16Zr28.5,VAM,C,,,6.49488457,Other,829,,,,114.5176764,,,,Paper_Collection_6_element
Al10Cu6Ni40Ti16Zr28,VAM,C,,,6.520722541,Other,780,,,,115.2743071,,,,Paper_Collection_5_element
Al10Ni45Ti20Zr25,VAM,C,,,6.406165949,Other,719,,,,119.6320258,,,,Paper_Collection_4_element
Al12.5Ce65Cu10Ni12.5,VAM,C,,,6.661596866,Other,,,,,49.40039733,,,,Paper_Collection_4_element
Al15Ce60Cu10Ni15,VAM,C,,,6.61449648,Other,,,,,52.33970602,,,,Paper_Collection_4_element
Al15Co35Cr10Ni35Si5,VAM,C,,,6.939925544,FCC+Sec.,,,,,171.9925673,,,,Paper_Collection_5_element
Al17Co8Cr8Ni51Ta8W8,VAM,C,,,9.306644811,Other+BCC+B2+Laves,601,,,,197.0760531,,,,Paper_Collection_6_element
Al1C0.1Co1Cr1Fe1Ni1,CAST,C,25.0,,6.7,BCC+Sec.,,957.0,2550.0,213.0,,,11.0,10.1016/j.jallcom.2010.10.047,
Al1C0.2Co1Cr1Fe1Ni1,CAST,C,25.0,,6.6,BCC+Sec.,,906.0,2386.0,151.0,,,9.0,10.1016/j.jallcom.2010.10.047,
Al1C0.3Co1Cr1Fe1Ni1,CAST,C,25.0,,6.5,BCC+Sec.,,867.0,2178.0,137.0,,,8.0,10.1016/j.jallcom.2010.10.047,
Al1C0.4Co1Cr1Fe1Ni1,CAST,C,25.0,,6.5,BCC+Sec.,,1056.0,2375.0,156.0,,,7.0,10.1016/j.jallcom.2010.10.047,
Al1C0.5Co1Cr1Fe1Ni1,CAST,C,25.0,,6.4,BCC+Sec.,,1060.0,2250.0,181.0,,,6.0,10.1016/j.jallcom.2010.10.047,
Al1C1Co1Cr1Fe1Ni1,POWDER,,,,6.2,FCC+BCC,,,,,,,7.0,10.1080/00325899.2019.1576389,
Al1C1Co1Cr1Fe1Ni1,CAST,C,25.0,,6.2,BCC+Sec.,,1251.0,2166.0,75.0,,,,10.1016/j.jallcom.2010.10.047,
Al1Co0.149Cr0.34Cu0.191Fe0.34Ni0.106,,,,,5.1,,749.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.234Cr0.468Cu0.106Fe0.213Ni0.106,,,,,5.0,,797.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.238Cr0.714Cu0.119Fe0.167Ni0.143,,,,,5.2,,783.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.255Cr0.255Cu0.106Fe0.277Ni0.234,,,,,5.1,,811.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.255Cr0.426Cu0.106Fe0.234Ni0.106,,,,,5.0,,843.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.256Cr0.795Cu0.128Fe0.205Ni0.179,,,,,5.4,,802.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.25Cr1Fe1Ni1,,C,25.0,,6.4,,,1363.0,,,,19.0,,10.1016/j.jallcom.2018.07.346,
Al1Co0.277Cr0.277Cu0.106Fe0.255Ni0.213,,,,,5.1,,799.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.277Cr0.426Cu0.106Fe0.213Ni0.106,,,,,5.0,,805.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.278Cr0.861Cu0.167Fe0.25Ni0.222,,,,,5.6,,790.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.289Cr0.158Cu0.237Fe0.816Ni0.132,,,,,5.6,,604.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.298Cr0.319Cu0.106Fe0.277Ni0.128,,,,,5.1,,728.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.298Cr0.404Cu0.106Fe0.213Ni0.106,,,,,5.1,,855.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.298Cr0.426Cu0.106Fe0.191Ni0.106,,,,,5.1,,859.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.304Cr0.5Cu0.109Fe0.152Ni0.109,,,,,5.1,,811.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.318Cr0.5Cu0.114Fe0.205Ni0.136,,,,,5.2,,790.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.326Cr0.488Cu0.116Fe0.279Ni0.116,,,,,5.3,,828.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.333Cr0.333Cu0.333Fe0.333,,,25.0,,5.4,BCC,644.0,,,,136.0,,,10.3166/acsm.31.633-648,
Al1Co0.333Cr0.333Fe0.333Ni0.333,CAST,,25.0,,5.3,BCC,506.0,,,,145.0,,,10.1016/j.jallcom.2008.07.124,
Al1Co0.349Cr0.395Cu0.116Fe0.326Ni0.14,,,,,5.3,,794.0,,,,,,,10.1016/j.actamat.2019.03.010,
