FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.50 Co1 Fe1 Ni1,,C,25.0,7.375,7.375241195,FCC,211.5,345.5,,,,16.5,,,Prof.Yeh-3dtransitional
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,,T,-70.0,,7.0,,,580.0,1034.0,,,4.0,,10.1016/j.actamat.2016.11.016,
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,,T,-192.0,,7.0,,,700.0,1000.0,,,16.5,,10.1016/j.actamat.2016.11.016,
Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,CAST,C,25.0,1.7,1.6,,,556.0,,,,16.0,,10.3390/ma12071136,
Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.5,,415.0,,,,,,,10.1149/1.2744133,
Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.7,7.510024263,Other,415.0,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.3,,505.0,,,,,,,10.1149/1.2744133,
Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.7,7.300611102,Other,505.0,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.1,,736.0,,,,,,,10.1149/1.2744133,
Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.8,7.107882584,Other,736.0,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1,,,25.0,,7.4,FCC,207.0,,,,,,,10.3166/acsm.31.633-648,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.6,FCC,225.0,,,,189.0,,,10.2320/matertrans.47.1395,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.6,,300.0,,,,189.0,,,10.1149/1.2744133,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,,,7.6,FCC,160.0,,,,189.0,,,10.1016/j.vacuum.2018.12.009,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,FCC,,1290.0,1400.0,,189.0,,,10.1016/j.jallcom.2009.10.088,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,Other,,650.0,790.0,,189.0,,,10.1016/j.jallcom.2009.10.088,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,700.0,,7.6,FCC,,180.0,185.0,,189.0,,,10.1016/j.jallcom.2009.10.088,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,700.0,,7.6,Other,,160.0,180.0,,189.0,,,10.1016/j.jallcom.2009.10.088,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,Other,,1284.0,1344.0,,189.0,,,10.1016/j.actamat.2015.07.004,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.6,FCC,215.0,,,,189.0,,,10.1007/s11661-006-0081-3,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,1000.0,,7.6,FCC,,150.0,,,,7.6,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,25.0,,7.6,FCC,,388.0,,,189.0,5.0,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,300.0,,7.6,FCC,,411.0,,,,27.0,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,500.0,,7.6,FCC,,421.0,,,189.0,5.0,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,700.0,,7.6,FCC,,426.0,,,,12.0,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,900.0,,7.6,FCC,,230.0,,,189.0,,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,1100.0,,7.6,FCC,,80.0,,,185.0,,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,CAST,,25.0,,7.5,FCC,272.0,,,,182.0,,,10.2320/matertrans.47.1395,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,CAST,,25.0,,7.3,FCC,321.0,,,,,,,10.2320/matertrans.47.1395,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,CAST,,25.0,,7.6,FCC,204.0,,,,,,,10.1007/s11661-006-0081-3,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1,,,,,7.4,,,,,,,,,10.4028/www.scientific.net/MSF.846.13,
Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5,,C,25.0,,6.9,,,1100.0,,,,,10.0,10.1016/j.jallcom.2018.01.247,
Al0.5 Co1 Cr1 Cu1 Fe1,,,25.0,7.4,7.365893181,FCC,207.0,,,,186.7519637,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,1000.0,7.6,7.621679625,FCC,,150.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,FCC,,388.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,300.0,7.6,7.621679625,FCC,,411.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,500.0,7.6,7.621679625,FCC,,421.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,700.0,7.6,7.621679625,FCC,,426.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,900.0,7.6,7.621679625,FCC,,230.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,1100.0,7.6,7.621679625,FCC,,80.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.6,7.621679625,FCC,210.0,388.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,Other,300.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,FCC,225.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,FCC,215.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.625,7.621679625,FCC,210.0,388.0,,,188.9516251,,,,Prof.Yeh-3dtransitional
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,,,25.0,7.5,7.462763984,FCC,272.0,,,,185.2393228,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,,,25.0,7.3,7.319238709,FCC,321.0,,,,181.8865426,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,,,25.0,7.6,7.56136684,FCC,204.0,,,,186.4990569,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.2,,,25.0,7.3,7.320414388,BCC,579.0,,,,176.7009301,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.4,,,25.0,7.3,7.281595783,BCC,577.0,,,,175.1224045,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.6,,,25.0,7.2,7.245214601,BCC,594.0,,,,173.6429946,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.8,,,25.0,7.2,7.211048262,BCC,597.0,,,,172.2536494,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V2.0,,,25.0,7.2,7.178900485,BCC,587.0,,,,170.9463874,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Cr1 Cu1 Fe1 Ni1,CAST,,,,7.4,FCC,226.0,,,,185.0,,,10.1007/s11665-018-3822-8,
Al0.5 Cr1 Cu1 Fe1 Ni1,WROUGHT,,,,7.4,FCC,287.0,,,,185.0,,,10.1007/s11665-018-3822-8,
Al0.5 Cr1 Cu1 Fe1 Ni2,,C,,,7.631019169,FCC,,,,,187.4137844,,,,Paper_Collection_5_element
Al0.5 Cr1 Fe1.5 Mn1 Ni0.5,,,25.0,7.0,6.969236476,BCC,396.0,,,,200.6999403,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.3,BCC,396.0,1302.0,,97.0,104.0,46.0,,10.1016/j.jallcom.2014.11.064,
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.3,9.338160378,BCC,396.0,1302.0,,107.0,104.0625193,46.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.34,9.338160378,BCC,396.0,1302.0,,97.0,104.0625193,46.0,46.0,,Prof.Yeh-RHEA
Al0.5 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,6.8,BCC,487.0,1625.0,1800.0,,156.0,11.0,,10.3390/e16020870,
Al0.5 Mo1 Nb1 Ti1 V1,,C,25.0,6.8,6.817877503,BCC,487.0,1625.0,,,155.5890876,11.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.8,6.817877503,BCC,487.0,1625.0,,158.0,155.5890876,11.0,11.0,,Prof.Yeh-RHEA
Al0.5 Nb1 Ta0.5 Ti1 Zr1,POWDER,,,,7.3,BCC,,,,,102.0,,,10.1016/j.matlet.2019.03.075,
Al0.5 Nb1 Ta1 Ti1 V1,CAST,C,25.0,,8.5,BCC,,1014.0,,,127.0,,,10.1016/j.proeng.2012.03.043,
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,25.0,7.6,7.557222162,BCC,,2035.0,,,108.974285,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,800.0,7.6,7.557222162,BCC,,796.0,,,108.974285,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,1000.0,7.6,7.557222162,BCC,,220.0,,,108.974285,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,C,25.0,7.6,7.557222162,BCC,530.0,2035.0,2105.0,,108.974285,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Nb1 Ta1 Ti1 V1,,C,25.0,8.5,8.460857347,BCC,,1014.0,,127.0,127.1790096,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.6 Cr1 Cu1 Fe1 Ni2,,,25.0,7.5,7.509549942,FCC,,,,,184.5225314,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.6 Mo1 Ta1 Ti1 V1,CAST,C,25.0,,8.7,BCC,,962.0,1033.0,,173.0,,,10.4028/www.scientific.net/MSF.898.638,
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.1,BCC,427.0,1415.0,2050.0,102.0,103.0,30.0,,10.1016/j.jallcom.2014.11.064,
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.091430053,BCC,427.0,1415.0,,105.0,102.7968193,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.3,9.091430053,BCC,427.0,1415.0,,102.0,102.7968193,30.0,30.0,,Prof.Yeh-RHEA
Al0.75 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,6.6,BCC,517.0,1260.0,1300.0,,151.0,8.0,,10.3390/e16020870,
Al0.75 Mo1 Nb1 Ti1 V1,,C,25.0,6.6,6.597193785,BCC,517.0,1260.0,,,151.0042854,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.75 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.6,6.597193785,BCC,517.0,1260.0,,154.0,151.0042854,8.0,7.0,,Prof.Yeh-RHEA
Al0.774 Fe1 Mn0.903 Ni0.484,CAST,,,,6.3,,310.0,,,,,,,10.1155/2019/2157592,
Al0.774 Fe1 Mn0.903 Ni0.484,ANNEAL,,,,6.3,,340.0,,,,,,,10.1155/2019/2157592,
Al0.774 Fe1 Mn0.903 Ni0.484,ANNEAL,,,,6.3,,330.0,,,,,,,10.1155/2019/2157592,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,CAST,,,,6.3,,330.0,,,,,,,10.1155/2019/2157592,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,ANNEAL,,,,6.3,,410.0,,,,,,,10.1155/2019/2157592,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,ANNEAL,,,,6.3,,330.0,,,,,,,10.1155/2019/2157592,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,CAST,,,,6.2,,500.0,,,,,,,10.1155/2019/2157592,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,ANNEAL,,,,6.2,,495.0,,,,,,,10.1155/2019/2157592,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,ANNEAL,,,,6.2,,490.0,,,,,,,10.1155/2019/2157592,
Al0.7 Co0.3 Cr1 Fe1 Ni1,,C,25.0,6.79,6.79019543,Other,624.0,2030.0,,,191.8815486,8.12,,,Prof.Yeh-3dtransitional
Al0.853 Co0.647 Cr1 Fe0.147 Ni0.294,,,,,6.0,,699.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al0.875 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,6.9,BCC,538.0,,,,188.0,,,10.1016/j.jallcom.2009.08.090,
Al0.875 Co1 Cr1 Fe1 Ni1,,,25.0,6.9,6.855946636,BCC,538.0,,,,188.2105698,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.8 Co1 Cr1 Fe1 Ni1 Ti0.2,,C,25.0,,6.8,,,968.0,,,,30.1,,10.1016/j.jallcom.2018.01.247,
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.3,7.275683436,FCC,270.0,,,,180.5924104,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.8 Cr1 Cu1 Fe1 Ni2,,,25.0,7.3,7.283715815,FCC,,,,,179.1471486,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.947 Co0.158 Mo1 Ni0.289 W0.237,CAST,,25.0,,8.0,,725.0,,,,,,,10.1038/s41467-019-10533-1,
Al1.0 Co1 Fe1 Ni1,,C,25.0,6.605,6.604716099,BCC,455.5,963.5,,,161.7140033,,,,Prof.Yeh-3dtransitional
Al1.125 Cu1 Fe0.75 Ni1 Ti1.125,,C,25.0,5.9,5.879319466,FCC,516.0,980.0,1326.0,140.0,131.1704646,7.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.125 Cu1 Fe0.75 Ni1 Ti1.125,,C,25.0,5.885,5.879319466,FCC,516.0,980.0,,145.0,131.1704646,6.6,,,Prof.Yeh-3dtransitional
Al1.25 Co1 Cr1 Fe1 Mn1 Ni1,,,25.0,6.6,6.623079554,BCC,539.0,,,,180.3814042,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.25 Co1 Cr1 Fe1 Ni1,,,25.0,6.5,6.466931593,BCC,487.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.25 Co1 Cr1 Fe1 Ni1,,,25.0,6.5,6.466931593,BCC,499.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5 Co1 Cr1 Fe1 Ni1,,,25.0,6.2,6.245655305,BCC,484.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5 Co1 Cr1 Fe1 Ni1,,,25.0,6.2,6.245655305,BCC,517.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5 Co1 Cr1 Fe1 Ni1,,,25.0,6.2,6.245655305,BCC,402.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,5.9,5.896411178,BCC,,,2110.0,172.0,159.8915821,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co0.149 Cr0.34 Cu0.191 Fe0.34 Ni0.106,,,,,5.1,,749.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.234 Cr0.468 Cu0.106 Fe0.213 Ni0.106,,,,,5.0,,797.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.238 Cr0.714 Cu0.119 Fe0.167 Ni0.143,,,,,5.2,,783.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.255 Cr0.255 Cu0.106 Fe0.277 Ni0.234,,,,,5.1,,811.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.255 Cr0.426 Cu0.106 Fe0.234 Ni0.106,,,,,5.0,,843.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.256 Cr0.795 Cu0.128 Fe0.205 Ni0.179,,,,,5.4,,802.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.25 Cr1 Fe1 Ni1,,C,25.0,,6.4,,,1363.0,,,,19.0,,10.1016/j.jallcom.2018.07.346,
Al1 Co0.277 Cr0.277 Cu0.106 Fe0.255 Ni0.213,,,,,5.1,,799.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.277 Cr0.426 Cu0.106 Fe0.213 Ni0.106,,,,,5.0,,805.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.278 Cr0.861 Cu0.167 Fe0.25 Ni0.222,,,,,5.6,,790.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.289 Cr0.158 Cu0.237 Fe0.816 Ni0.132,,,,,5.6,,604.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.298 Cr0.319 Cu0.106 Fe0.277 Ni0.128,,,,,5.1,,728.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.298 Cr0.404 Cu0.106 Fe0.213 Ni0.106,,,,,5.1,,855.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.298 Cr0.426 Cu0.106 Fe0.191 Ni0.106,,,,,5.1,,859.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.304 Cr0.5 Cu0.109 Fe0.152 Ni0.109,,,,,5.1,,811.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.318 Cr0.5 Cu0.114 Fe0.205 Ni0.136,,,,,5.2,,790.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.326 Cr0.488 Cu0.116 Fe0.279 Ni0.116,,,,,5.3,,828.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,,,25.0,,5.4,BCC,644.0,,,,136.0,,,10.3166/acsm.31.633-648,
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,CAST,,25.0,,5.3,BCC,506.0,,,,145.0,,,10.1016/j.jallcom.2008.07.124,
Al1 Co0.349 Cr0.395 Cu0.116 Fe0.326 Ni0.14,,,,,5.3,,794.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,,,25.0,,5.5,BCC,657.0,,,,139.0,,,10.3166/acsm.31.633-648,
Al1 Co0.362 Cr0.34 Cu0.106 Fe0.213 Ni0.106,,,,,5.1,,841.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.383 Cr0.319 Cu0.106 Fe0.213 Ni0.106,,,,,5.1,,849.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.395 Cr0.349 Fe0.326 Ni0.256,,,,,5.3,,806.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.404 Cr0.404 Cu0.106 Fe0.106 Ni0.106,,,,,5.1,,878.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.419 Cr0.465 Fe0.279 Ni0.163,,,,,5.3,,864.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.419 Cr0.558 Fe0.233 Ni0.116,,,,,5.2,,856.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.442 Cr0.442 Fe0.256 Ni0.186,,,,,5.3,,855.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.442 Cr0.558 Fe0.186 Ni0.14,,,,,5.2,,855.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.457 Cr0.391 Cu0.109 Fe0.109 Ni0.109,,,,,5.2,,840.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.465 Cr0.442 Fe0.209 Ni0.209,,,,,5.3,,816.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.465 Cr0.488 Fe0.209 Ni0.163,,,,,5.3,,828.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.465 Cr0.512 Fe0.186 Ni0.163,,,,,5.3,,857.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,CAST,,25.0,,5.6,BCC,487.0,,,,152.0,,,10.1016/j.jallcom.2008.07.124,
Al1 Co0.512 Cr0.512 Fe0.186 Ni0.116,,,,,5.3,,882.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.512 Cr0.581 Fe0.116 Ni0.116,,,,,5.2,,848.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.535 Cr0.488 Fe0.186 Ni0.116,,,,,5.3,,863.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.558 Cr0.512 Fe0.116 Ni0.14,,,,,5.3,,875.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.558 Cr0.535 Fe0.116 Ni0.116,,,,,5.3,,868.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.581 Cr0.512 Fe0.116 Ni0.116,,,,,5.3,,865.0,,,,,,,10.1016/j.actamat.2019.03.010,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,1000.0,,6.3,BCC,,116.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,1100.0,,6.3,BCC,,79.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,25.0,,6.3,BCC,,1620.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,600.0,,6.3,BCC,,805.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,500.0,,6.3,BCC,,1120.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,700.0,,6.3,BCC,,567.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,900.0,,6.3,BCC,,214.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,800.0,,6.3,BCC,,302.0,,,,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,ANNEAL,,25.0,,5.9,BCC,509.0,,,,160.0,,,10.1016/j.jallcom.2009.08.090,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,ANNEAL,,25.0,,5.9,BCC,512.0,,,,160.0,,,10.1016/j.jallcom.2009.08.090,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,CAST,,25.0,,5.9,BCC,432.0,,,,,9.98,,10.1016/j.jallcom.2008.07.124,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,,,,,5.9,BCC,733.0,,,,160.0,,,10.1016/j.intermet.2012.03.005,
