FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,ANNEAL,,,,7.7,,178.0,,,,,,,10.1016/j.ultramic.2015.06.009,
Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,ANNEAL,,,,7.7,,343.0,,,,,,,10.1016/j.ultramic.2015.06.009,
Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,ANNEAL,,,,7.7,,171.0,,,,,,,10.1016/j.matchar.2018.06.036,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,ANNEAL,,,,7.7,,168.0,,,,,,,10.1016/j.ultramic.2015.06.009,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,ANNEAL,,,,7.7,,328.0,,,,,,,10.1016/j.ultramic.2015.06.009,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,ANNEAL,,,,7.7,,206.0,,,,,,,10.1016/j.matchar.2018.06.036,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,CAST,T,25.0,,7.7,Other,,357.0,459.0,,,9.0,,10.1007/s11837-013-0756-3,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,ANNEAL,T,25.0,,7.7,Other,,365.0,365.0,,,0.1,,10.1007/s11837-013-0756-3,
Al0.245 Mo0.1 Nb0.19 Ti0.15 V0.315,CAST,C,25.0,5.87,5.907716601,Other,,843.0,,,125.9258887,1.0,1.0,,Prof.Yeh-RHEA
Al0.255 Hf0.06 Nb0.205 Ti0.09 V0.34 Zr0.05,CAST,C,25.0,6.0,6.242562835,Other,,1495.0,,,98.90261279,1.0,1.0,,Prof.Yeh-RHEA
