FORMULA,Process Method,Measurement Method,Measuremet T (?°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Al1Co0.512Cr0.581Fe0.116Ni0.116,,,,,5.2,,848,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.535Cr0.488Fe0.186Ni0.116,,,,,5.3,,863,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.556Cr0.556Cu0.556Fe0.556,,,25,,6.1,FCC+BCC,557,,,,,,,10.3166/acsm.31.633-648,
Al1Co0.556Cr0.556Fe0.556Ni0.556Ti0.111,CAST,C,25,,5.9,BCC+B2,605.5,1324,,,,10.02,,10.1016/j.jallcom.2019.07.100,
Al1Co0.558Cr0.512Fe0.116Ni0.14,,,,,5.3,,875,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.558Cr0.535Fe0.116Ni0.116,,,,,5.3,,868,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.581Cr0.512Fe0.116Ni0.116,,,,,5.3,,865,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.5Cr0.5Cu0.5Fe0.5,,,25,,5.9,FCC+BCC,567,,,,,,,10.3166/acsm.31.633-648,
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,CAST,,,,6.3,FCC+BCC,560,,,,156,,,10.1016/j.vacuum.2018.12.009,
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,CAST,C,1000,,6.3,BCC,,116,,,156,,,10.1007/s11661-005-0218-9,
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,CAST,C,1100,,6.3,BCC,,79,,,156,,,10.1007/s11661-005-0218-9,
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,CAST,C,25,,6.3,BCC,,1620,,,156,,,10.1007/s11661-005-0218-9,
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,CAST,C,600,,6.3,BCC,,805,,,156,,,10.1007/s11661-005-0218-9,
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,CAST,C,500,,6.3,BCC,,1120,,,156,,,10.1007/s11661-005-0218-9,
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,CAST,C,700,,6.3,BCC,,567,,,156,,,10.1007/s11661-005-0218-9,
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,CAST,C,900,,6.3,BCC,,214,,,156,,,10.1007/s11661-005-0218-9,
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,CAST,C,800,,6.3,BCC,,302,,,,,,10.1007/s11661-005-0218-9,
Al1Co0.5Cr0.5Fe0.5Mo0.25Ni0.5,CAST,,25,,6.3,BCC+B2,605,,,,,,,10.1007/s11837-013-0753-6,
Al1Co0.5Cr0.5Fe0.5Ni0.5,CAST,C,25,,5.9,BCC+B2,581.7,1241,,,160,,,10.1016/j.jallcom.2019.07.100,
Al1Co0.5Cr0.5Fe0.5Ni0.5,ANNEAL,,25,,5.9,BCC,509,,,,160,,,10.1016/j.jallcom.2009.08.090,
Al1Co0.5Cr0.5Fe0.5Ni0.5,ANNEAL,,25,,5.9,BCC,512,,,,160,,,10.1016/j.jallcom.2009.08.090,
Al1Co0.5Cr0.5Fe0.5Ni0.5,CAST,,25,,5.9,BCC,432,,,,,9.98,,10.1016/j.jallcom.2008.07.124,
Al1Co0.5Cr0.5Fe0.5Ni0.5,,,,,5.9,BCC,733,,,,160,,,10.1016/j.intermet.2012.03.005,
Al1Co0.5Cr0.5Fe0.5Ni0.5Ti0.5,CAST,C,25,,5.6,BCC+BCC,643,,1030,94,,,5,10.1016/j.msea.2008.12.053,
Al1Co0.5Cr1Fe0.147Ni0.294,,,,,5.7,,699,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.5Cr1Fe1Mo0.5Ni1,CAST,,25,,7,BCC+Sec.,801,,,,,,,10.1002/adem.200900171,
Al1Co0.5Cr1Fe1Ni1,,C,25,,6.5,,,1349,,,,20,,10.1016/j.jallcom.2018.07.346,
Al1Co0.667Cr0.667Cu0.667Fe0.667,,,25,,6.3,FCC+BCC,510,,,,,,,10.3166/acsm.31.633-648,
Al1Co0.667Cr0.667Cu0.667Fe0.667Ni0.667,CAST,,,,6.6,FCC+BCC,498,,,,,,,10.1016/j.vacuum.2018.12.009,
Al1Co0.667Cr0.667Fe0.667Mo0.333Ni0.667,CAST,,25,,6.6,B2+Sec.,655,,,,,,,10.1007/s11837-013-0753-6,
Al1Co0.667Cr0.667Fe0.667Ni0.667,ANNEAL,,25,,6.2,BCC,484,,,,171,,,10.1016/j.jallcom.2009.08.090,
Al1Co0.667Cr0.667Fe0.667Ni0.667,ANNEAL,,25,,6.2,BCC,517,,,,171,,,10.1016/j.jallcom.2009.08.090,
Al1Co0.667Cr0.667Fe0.667Ni0.667,CAST,,25,,6.2,BCC,402,,,,171,,,10.1016/j.jallcom.2008.07.124,
Al1Co0.667Cr0.667Fe0.667Ni0.667Ti0.333,CAST,C,25,,6.1,BCC+B2,641.7,1566,,,,11.85,,10.1016/j.jallcom.2019.07.100,
Al1Co0.667Cr0.667Fe0.667Ni0.667Ti0.667,CAST,C,25,,5.9,BCC+BCC,,,2110,133,,,10,10.1016/j.msea.2008.12.053,
Al1Co0.674Cr0.419Fe0.116Ni0.116,,,,,5.3,,782,,,,,,,10.1016/j.actamat.2019.03.010,
Al1Co0.75Cr1Fe1Ni1,,C,25,,6.6,,,1331,,,,20,,10.1016/j.jallcom.2018.07.346,
Al1Co0.769Cr0.769Cu0.769Fe0.769,,,25,,6.5,FCC+BCC,476,,,,,,,10.3166/acsm.31.633-648,
Al1Co0.833Cr0.833Fe0.833Ni0.833Ti0.667,CAST,C,25,,6.2,BCC+B2,639.6,1503,,,,7.73,,10.1016/j.jallcom.2019.07.100,
Al1Co0.8Cr0.8Fe0.8Mn0.8Ni0.8,CAST,,25,,6.6,BCC,539,,,,180,,,10.1016/j.actamat.2013.09.037,
Al1Co0.8Cr0.8Fe0.8Ni0.8,ANNEAL,,25,,6.5,BCC,487,,,,177,,,10.1016/j.jallcom.2009.08.090,
Al1Co0.8Cr0.8Fe0.8Ni0.8,ANNEAL,,25,,6.5,BCC,499,,,,177,,,10.1016/j.jallcom.2009.08.090,
Al1Co1Cr0.091Nb0.727W0.212,CAST,,25,,7.2,,1084,,,,,,,10.1038/s41467-019-10533-1,
Al1Co1Cr1Cu1Fe1,,,25,,6.8,FCC+BCC,407,,,,,,,10.3166/acsm.31.633-648,
Al1Co1Cr1Cu1Fe1Mn1Ni1,CAST,C,25,,7.1,FCC+BCC+Sec.,,1005,,,,15,,10.1016/j.msea.2008.08.025,
Al1Co1Cr1Cu1Fe1Ni1,CAST,,,,7.1,FCC+BCC,458,,,,,,,10.1016/j.vacuum.2018.12.009,
Al1Co1Cr1Cu1Fe1Ni1,CAST,,25,,7.1,FCC+BCC,472,,,,,24,,10.1016/j.msea.2012.07.003,
Al1Co1Cr1Cu1Fe1Ni1,CAST,T,25,,7.1,BCC+Sec.,,790,790,,,,,10.1016/j.msea.2011.11.045,
Al1Co1Cr1Cu1Fe1Ni1,WROUGHT,T,25,,7.1,BCC+Sec.,,1040,1170,,,,,10.1016/j.msea.2011.11.045,
Al1Co1Cr1Cu1Fe1Ni1,CAST,T,700,,7.1,BCC+Sec.,,350,360,,,,,10.1016/j.msea.2011.11.045,
Al1Co1Cr1Cu1Fe1Ni1,WROUGHT,T,700,,7.1,BCC+Sec.,,63,91,,,,,10.1016/j.msea.2011.11.045,
Al1Co1Cr1Cu1Fe1Ni1,CAST,C,25,,7.1,FCC+BCC,,1303,,,,,,10.1016/j.msea.2008.08.025,
Al1Co1Cr1Cu1Fe1Ni1,,C,25,,7.1,,,1285,,,,,,10.1016/j.matdes.2016.12.036,
Al1Co1Cr1Cu1Fe1Ni1,CAST,C,1000,,7.1,FCC+BCC,,47,,,,0.2,,10.1007/s11661-005-0218-9,
Al1Co1Cr1Cu1Fe1Ni1,CAST,C,25,,7.1,FCC+BCC,,948,,,,1,,10.1007/s11661-005-0218-9,
Al1Co1Cr1Cu1Fe1Ni1,CAST,C,600,,7.1,FCC+BCC,,561,,,,5,,10.1007/s11661-005-0218-9,
Al1Co1Cr1Cu1Fe1Ni1,CAST,C,700,,7.1,FCC+BCC,,307,,,,63,,10.1007/s11661-005-0218-9,
Al1Co1Cr1Cu1Fe1Ni1,CAST,C,800,,7.1,FCC+BCC,,172,,,,,,10.1007/s11661-005-0218-9,
Al1Co1Cr1Cu1Fe1Ni1,CAST,C,900,,7.1,FCC+BCC,,98,,,,24.6,,10.1007/s11661-005-0218-9,
Al1Co1Cr1Cu1Fe1Ni1Ti1,CAST,C,25,,6.6,FCC+BCC+BCC,,1234,,,,9,,10.1016/j.msea.2008.08.025,
Al1Co1Cr1Cu1Fe1Ni1Ti1,,C,25,,6.6,,,1523,,,,8.1,,10.1016/j.matdes.2016.12.036,
Al1Co1Cr1Cu1Fe1Ni1V1,CAST,C,25,,6.9,FCC+BCC,,1469,,,,16,,10.1016/j.msea.2008.08.025,
Al1Co1Cr1Cu1Ni1Ti1,,C,25,,6.4,BCC,,,1495,36,157,,8,10.1016/j.matdes.2009.09.016,
Al1Co1Cr1Cu1Ni1Ti1Y0.5,CAST,C,25,,6.1,Other,,,1025,36,,,3,10.1016/j.matdes.2009.09.016,
Al1Co1Cr1Cu1Ni1Ti1Y0.8,CAST,C,25,,5.9,Other,,,1325,38,,,5,10.1016/j.matdes.2009.09.016,
Al1Co1Cr1Cu1Ni1Ti1Y1,CAST,C,25,,5.8,Other,,,1192,37,,,4,10.1016/j.matdes.2009.09.016,
Al1Co1Cr1Fe0.6Mo0.5Ni1,CAST,,25,,7.1,BCC+Sec.,754,,,,,,,10.1016/j.wear.2009.10.013,
Al1Co1Cr1Fe1Mn1Ni1,CAST,C,25,,6.8,FCC+BCC,684,,,,,,0,10.1016/j.jallcom.2018.10.168,
Al1Co1Cr1Fe1Mo0.1Ni1,CAST,C,25,,6.8,BCC,,1804,2280,,188,,9,10.1016/j.msea.2010.07.028,
Al1Co1Cr1Fe1Mo0.2Ni1,CAST,C,25,,6.9,BCC+Sec.,,2456,2953,,,,3,10.1016/j.msea.2010.07.028,
Al1Co1Cr1Fe1Mo0.3Ni1,CAST,C,25,,7,BCC+Sec.,,2649,3208,,,,3,10.1016/j.msea.2010.07.028,
Al1Co1Cr1Fe1Mo0.4Ni1,CAST,C,25,,7,BCC+Sec.,,2670,3161,,,,3,10.1016/j.msea.2010.07.028,
Al1Co1Cr1Fe1Mo0.5,CAST,,25,,6.8,B2+Sec.,857,,,,,,,10.1016/j.intermet.2012.09.008,
Al1Co1Cr1Fe1Mo0.5Ni0.5,CAST,,25,,7,B2+Sec.,708,,,,,,,10.1016/j.intermet.2012.09.008,
Al1Co1Cr1Fe1Mo0.5Ni1,CAST,,25,,7.1,BCC+Sec.,755,,,,,,,10.1016/j.wear.2009.10.013,
Al1Co1Cr1Fe1Mo0.5Ni1,CAST,C,25,,7.1,BCC+Sec.,,2757,3036,,,,3,10.1016/j.msea.2010.07.028,
Al1Co1Cr1Fe1Mo0.5Ni1,CAST,,25,,7.1,B2+Sec.,730,,,,,,,10.1016/j.intermet.2012.09.008,
Al1Co1Cr1Fe1Mo0.5Ni1,CAST,,25,,7.1,B2+Sec.,715,,,,,,,10.1007/s11837-013-0753-6,
Al1Co1Cr1Fe1Mo0.5Ni1,CAST,,25,,7.1,BCC+Sec.,796,,,,,,,10.1002/adem.200900171,
Al1Co1Cr1Fe1Nb0.1Ni1,CAST,C,25,,6.8,BCC,569,1641,3285,,182,,17,10.1016/j.msea.2011.10.110,
Al1Co1Cr1Fe1Nb0.25Ni1,CAST,C,25,,6.8,BCC+Sec.,668,1959,3008,,,,11,10.1016/j.msea.2011.10.110,
Al1Co1Cr1Fe1Nb0.5Ni1,CAST,C,25,,7,BCC+Sec.,747,2473,3170,,,,4,10.1016/j.msea.2011.10.110,
Al1Co1Cr1Fe1Nb0.75Ni1,CAST,,25,,7,BCC+Sec.,,,,,,,,10.1016/j.msea.2011.10.110,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2,,,,,184,,,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2,,,,,,,,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2+FCC,,,,,184,,,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2+FCC,,,,,184,,33,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2+FCC,,520,,,184,,11,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2+FCC,,1150,,,184,,,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2+FCC,,1287,,,184,,25,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2+FCC,,1286,,,184,,,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2+FCC,,1390,,,,1,,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+B2+FCC,,1626,,,,10,,10.1088/2053-1591/ab2517,
Al1Co1Cr1Fe1Ni1,CAST,T,700,,6.7,BCC+B2,,395,400,,,1.6,,10.1016/j.msea.2015.08.078,
Al1Co1Cr1Fe1Ni1,CAST,T,700,,6.7,BCC+B2,,395,400,,,2.7,,10.1016/j.msea.2015.08.078,
Al1Co1Cr1Fe1Ni1,CAST,C,25,,6.7,BCC,520,1373,3531,,,20,,10.1016/j.msea.2011.10.110,
Al1Co1Cr1Fe1Ni1,CAST,C,25,,6.7,BCC,,1110,,,,0.8,,10.1016/j.msea.2010.07.049,
Al1Co1Cr1Fe1Ni1,CAST,C,25,,6.7,BCC,,1051,,,,22.7,,10.1016/j.msea.2010.07.028,
Al1Co1Cr1Fe1Ni1,CAST,C,25,,6.7,BCC,,1251,2004,,,1,,10.1016/j.msea.2008.01.064,
Al1Co1Cr1Fe1Ni1,CAST,C,25,,6.7,BCC+B2,,,,,,12,,10.1016/j.matdes.2013.12.048,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+FCC,550,1221.1,,,,16,,10.1016/j.matchar.2019.05.022,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+FCC,510,1186.7,,,,23,,10.1016/j.matchar.2019.05.022,
Al1Co1Cr1Fe1Ni1,POWDER,C,25,,6.7,BCC+FCC,503,1112.9,,,,24.2,,10.1016/j.matchar.2019.05.022,
Al1Co1Cr1Fe1Ni1,CAST,C,25,,6.7,B2+BCC,519,1631,,,,19,,10.1016/j.matchar.2019.03.006,
Al1Co1Cr1Fe1Ni1,CAST,C,25,,6.7,B2+BCC,493,1209,,,,,,10.1016/j.matchar.2019.03.006,
Al1Co1Cr1Fe1Ni1,POWDER,,,,6.7,FCC+BCC,,,,,,,,10.1016/j.jallcom.2019.06.301,
Al1Co1Cr1Fe1Ni1,POWDER,,,,6.7,FCC+BCC,,,,,,30,23.2,10.1016/j.jallcom.2019.06.301,
Al1Co1Cr1Fe1Ni1,,C,25,,6.7,,,1313,,,,33,26.5,10.1016/j.jallcom.2018.07.346,
Al1Co1Cr1Fe1Ni1,,C,25,,6.7,,,1300,,,,30,21.4,10.1016/j.jallcom.2018.01.247,
Al1Co1Cr1Fe1Ni1,ANNEAL,T,25,,6.7,FCC+BCC,,900,935,,,,,10.1016/j.jallcom.2017.03.307,
Al1Co1Cr1Fe1Ni1,CAST,C,25,,6.7,BCC+B2,,1380,,,,,,10.1016/j.jallcom.2016.05.034,
Al1Co1Cr1Fe1Ni1,ANNEAL,C,25,,6.7,BCC+B2+FCC+Sec.,,1430,,,,,,10.1016/j.jallcom.2016.05.034,
Al1Co1Cr1Fe1Ni1,ANNEAL,C,25,,6.7,BCC+B2+FCC,,1690,,,,,,10.1016/j.jallcom.2016.05.034,
Al1Co1Cr1Fe1Ni1,ANNEAL,C,25,,6.7,BCC+B2+FCC,,1220,,,,,,10.1016/j.jallcom.2016.05.034,
Al1Co1Cr1Fe1Ni1,ANNEAL,C,25,,6.7,BCC+B2+FCC,,1450,,,,,,10.1016/j.jallcom.2016.05.034,
Al1Co1Cr1Fe1Ni1,CAST,C,25,,6.7,BCC,,1138,,,,,,10.1016/j.jallcom.2010.10.047,
Al1Co1Cr1Fe1Ni1,ANNEAL,,25,,6.7,BCC,484,,,,,,,10.1016/j.jallcom.2009.08.090,
Al1Co1Cr1Fe1Ni1,ANNEAL,,25,,6.7,FCC+BCC,433,,,,,,,10.1016/j.jallcom.2009.08.090,
Al1Co1Cr1Fe1Ni1,CAST,,25,,6.7,BCC,395,,,,,,,10.1016/j.jallcom.2008.07.124,
Al1Co1Cr1Fe1Ni1,,,,,6.7,BCC,500,,,,184,,,10.1016/j.intermet.2012.03.005,
Al1Co1Cr1Fe1Ni1Si0.2,CAST,C,25,,6.5,BCC,,1265,2173,,176,,14,10.1016/j.msea.2010.07.049,
Al1Co1Cr1Fe1Ni1Si0.4,CAST,C,25,,6.2,BCC,,1481,2444,,169,,13,10.1016/j.msea.2010.07.049,
Al1Co1Cr1Fe1Ni1Si0.6,CAST,C,25,,6,BCC,,1834,2195,,162,,3,10.1016/j.msea.2010.07.049,
Al1Co1Cr1Fe1Ni1Si0.8,CAST,C,25,,5.8,BCC+Sec.,,2179,2664,,,,2,10.1016/j.msea.2010.07.049,
Al1Co1Cr1Fe1Ni1Si1,CAST,C,25,,5.7,BCC+Sec.,,2411,2950,,,,1,10.1016/j.msea.2010.07.049,
Al1Co1Cr1Fe1Ni1Ti0.5,CAST,C,25,,6.4,BCC+BCC,178,2260,3140,178,,24.4,23,10.1063/1.2734517,
Al1Co1Cr1Fe1Ni1Ti1,CAST,C,25,,6.2,BCC+BCC,,1860,2580,90,,,6,10.1063/1.2734517,
Al1Co1Cr1Fe1Ni1Ti1,CAST,C,25,,6.2,BCC+Laves,,,2280,148,,10.7,9,10.1016/j.msea.2008.12.053,
Al1Co1Cr1Fe1Ni1Ti1,CAST,C,25,,6.2,BCC+B2+Laves,703,1448,,,,6.18,,10.1016/j.jallcom.2019.07.100,
Al1Co1Cr1Fe1Ni1Ti1V1Zr1,CAST,,25,,6.3,,780,,,,,,,10.1002/adem.200300567,
Al1Co1Cr1Ni1,CAST,C,25,,6.4,BCC+B2,1183,1750,,,,16.7,,10.1016/j.jallcom.2018.11.057,
Al1Co1Cu1Fe1Nd1Ni1,CAST,,25,,7,Other,578,,,,,,,10.1016/j.msea.2012.07.003,
Al1Co1Cu1Fe1Ni0.5,CAST,C,25,,6.9,FCC+BCC+B2,430.9,929,,,,13.7,,10.1016/j.jmst.2018.12.014,
Al1Co1Cu1Fe1Ni0.8,CAST,C,25,,7,FCC+BCC+B2,420,1021,,,,12.3,,10.1016/j.jmst.2018.12.014,
Al1Co1Cu1Fe1Ni1,CAST,,25,,7,FCC+BCC,536,,,,,,,10.1016/j.msea.2012.07.003,
Al1Co1Cu1Fe1Ni1,,C,25,,7,,,1060,,,,19.1,,10.1016/j.matdes.2016.12.036,
Al1Co1Cu1Fe1Ni1,CAST,C,25,,7,FCC+BCC+B2,391.4,994,,,,24.5,,10.1016/j.jmst.2018.12.014,
Al1Co1Cu1Fe1Ni1Si1,CAST,,25,,5.9,FCC+BCC,682,,,,,,,10.1016/j.msea.2012.07.003,
Al1Co1Cu1Fe1Ni1Ti1,CAST,,25,,6.5,FCC+BCC,626,,,,,,,10.1016/j.msea.2012.07.003,
Al1Co1Cu1Fe1Ni1Ti1,,C,25,,6.5,,,1612,,,,12.8,,10.1016/j.matdes.2016.12.036,
Al1Co1Cu1Fe1Ni1Zr1,CAST,,25,,6.9,FCC+BCC+Sec.,472,,,,,,,10.1016/j.msea.2012.07.003,
Al1Co1Fe1Ni1,CAST,C,25,,6.6,BCC,456,964,,,162,,,10.1016/j.jmmm.2014.07.023,
Al1Co1Fe1Ni1Ti1,POWDER,C,25,,6.1,BCC+B2,667,,,,,,,10.1016/j.jallcom.2019.02.083,
Al1Co1Fe1Ni1Ti1V1Zr1,CAST,,25,,6.2,BCC,790,,,,129,,,10.1002/adem.200300567,
Al1Co1Ni1Ti1,POWDER,C,25,,5.7,BCC+B2,672,,,,,,,10.1016/j.jallcom.2019.02.083,
Al1Cr0.077Cu0.077Mg0.077Si0.231Zn0.077,CAST,C,25,3.06,3.1,FCC,,490,,78.4,75,6,,10.1038/s41598-019-43329-w,
Al1Cr0.5Nb1Ti1V1,ANNEAL,C,600,,5.6,BCC,,1005,1045,,119,,,10.1016/j.jallcom.2015.08.224,
Al1Cr0.5Nb1Ti1V1,ANNEAL,C,800,,5.6,BCC,,640,685,,119,,,10.1016/j.jallcom.2015.08.224,
Al1Cr0.5Nb1Ti1V1,ANNEAL,C,1000,,5.6,BCC,,40,80,,119,,,10.1016/j.jallcom.2015.08.224,
Al1Cr0.5Nb1Ti1V1,ANNEAL,C,25,,5.6,BCC,,1300,1430,,119,,,10.1016/j.jallcom.2015.08.224,
Al1Cr0.767Fe0.767Ni0.767,CAST,C,25,,5.9,BCC+B2,,1122.8,,,,24.7,,10.1016/j.msea.2016.11.019,
Al1Cr0.828Fe0.828Ni0.828,CAST,C,25,,6,BCC+B2,,906.8,,,,31.4,,10.1016/j.msea.2016.11.019,
Al1Cr0.889Fe0.889Ni0.889,CAST,C,25,,6.1,BCC+B2,,1044,,,,27.1,,10.1016/j.msea.2016.11.019,
Al1Cr1Cu1Fe1Mn1,POWDER,C,25,,6.5,Other,633,1010,,,,,,10.1557/jmr.2019.18,
Al1Cr1Cu1Fe1Mn1W0.05,POWDER,C,25,,6.7,BCC+Sec.,680,1120,,,,,,10.1557/jmr.2019.18,
Al1Cr1Cu1Fe1Mn1W0.1,POWDER,C,25,,6.8,BCC+Sec.,705,1250,,,,,,10.1557/jmr.2019.18,
Al1Cr1Cu1Fe1Mn1W0.5,POWDER,C,25,,7.9,BCC+Sec.,780,1510,,,,,,10.1557/jmr.2019.18,
Al1Cr1Cu1Fe1Ni0.6,ANNEAL,,25,,6.6,FCC+BCC,496,,,,,,,10.1016/j.msea.2011.11.063,
Al1Cr1Cu1Fe1Ni0.8,ANNEAL,,25,,6.7,FCC+BCC,486,,,,,,,10.1016/j.msea.2011.11.063,
Al1Cr1Cu1Fe1Ni1,ANNEAL,,25,,6.8,FCC+BCC,495,,,,,,,10.1016/j.msea.2011.11.063,
Al1Cr1Cu1Fe1Ni1,POWDER,,,,6.8,FCC+BCC+B2,434,,,,,,,10.1016/j.jallcom.2019.01.341,
Al1Cr1Cu1Fe1Ni1,POWDER,,,,6.8,FCC+BCC+B2,666,,,,,,,10.1016/j.jallcom.2019.01.341,
Al1Cr1Cu1Fe1Ni1,POWDER,,,,6.8,FCC+BCC+B2,761,,,,,,,10.1016/j.jallcom.2019.01.341,
Al1Cr1Cu1Fe1Ni1,POWDER,,,,6.8,FCC+BCC+B2,747,,,,,,,10.1016/j.jallcom.2019.01.341,
Al1Cr1Cu1Fe1Ni1,POWDER,C,20,,6.8,FCC+BCC+B2,,1511,,,,,,10.1016/j.jallcom.2019.01.341,
Al1Cr1Cu1Fe1Ni1,POWDER,C,400,,6.8,FCC+BCC+B2,,1366,,,,5,,10.1016/j.jallcom.2019.01.341,
Al1Cr1Cu1Fe1Ni1,POWDER,C,600,,6.8,FCC+BCC+B2,,410,,,,17,,10.1016/j.jallcom.2019.01.341,
Al1Cr1Cu1Fe1Ni1,POWDER,C,800,,6.8,FCC+BCC+B2,,48,,,,35,,10.1016/j.jallcom.2019.01.341,
Al1Cr1Cu1Fe1Ni1,CAST,,25,,6.8,FCC+BCC,342,,,,,35,,10.1016/j.jallcom.2008.07.124,
Al1Cr1Cu1Fe1Ni1Ti1,ANNEAL,C,25,,6.3,BCC+BCC+Sec.,,,1219,,,,,10.1016/j.jallcom.2011.02.108,
Al1Cr1Fe1Mo0.2Ni1,CAST,C,25,,6.5,BCC+B2,549,1487,3222,,,,29,10.1016/j.jallcom.2013.03.253,
Al1Cr1Fe1Mo0.5Ni1,CAST,C,25,,6.8,BCC+B2,623.7,1914.1,4024,,,,13,10.1088/0256-307X/35/3/036102,
Al1Cr1Fe1Mo0.5Ni1,CAST,C,25,,6.8,BCC+B2,622,1749,2644,,,,27.9,10.1016/j.jallcom.2013.03.253,
Al1Cr1Fe1Mo0.5Ni1Ti0.25,CAST,C,25,,6.6,BCC+B2,712,2161.7,3642,,,,14.3,10.1088/0256-307X/35/3/036102,
Al1Cr1Fe1Mo0.5Ni1Ti0.4,CAST,C,25,,6.5,BCC+B2,731.9,2185.1,3673,,,,14.8,10.1088/0256-307X/35/3/036102,
Al1Cr1Fe1Mo0.5Ni1Ti0.5,CAST,C,25,,6.5,BCC+B2,751.7,2228.7,3166,,,,10.4,10.1088/0256-307X/35/3/036102,
Al1Cr1Fe1Mo0.5Ni1Ti0.6,CAST,C,25,,6.4,BCC+B2,756.1,1314.5,1314,,,,,10.1088/0256-307X/35/3/036102,
Al1Cr1Fe1Mo0.5Ni1Ti0.75,CAST,C,25,,6.4,BCC+B2,766.2,618.8,619,,,,,10.1088/0256-307X/35/3/036102,
Al1Cr1Fe1Mo0.8Ni1,CAST,C,25,,7,B2+Sec.,854,1513,1513,,,,0,10.1016/j.jallcom.2013.03.253,
Al1Cr1Fe1Mo1Ni1,CAST,,25,,7.2,B2+Sec.,905,,,,,,,10.1016/j.jallcom.2013.03.253,
Al1Cr1Fe1Ni1,CAST,C,25,,6.3,BCC+B2,,843.2,,,,,29,10.1016/j.msea.2016.11.019,
Al1Cr1Fe1Ni1,,C,25,,6.3,,,1271,,,,34.6,,10.1016/j.jallcom.2018.07.346,
Al1Cr1Fe1Ni1,CAST,C,25,,6.3,BCC+B2,472,1406,2927,,,14,,10.1016/j.jallcom.2013.03.253,
Al1Cr1Mo1Nb1,ANNEAL,,,,7.2,Other,,,,,,,,10.1016/j.matdes.2018.06.003,
Al1Cr1Mo1Nb1,CAST,,,,7.2,Other,,,,,,,,10.1016/j.matdes.2018.06.003,
Al1Cr1Mo1Nb1Ti1,CAST,C,25,,6.6,BCC,,,,,170,,,10.1016/j.jallcom.2015.11.050,
Al1Cr1Mo1Nb1Ti1,CAST,C,400,,6.6,BCC,,1080,1100,,170,2,,10.1016/j.jallcom.2015.11.050,
Al1Cr1Mo1Nb1Ti1,CAST,C,600,,6.6,BCC,,1060,1170,,170,3,,10.1016/j.jallcom.2015.11.050,
Al1Cr1Mo1Nb1Ti1,CAST,C,800,,6.6,BCC,,860,1000,,170,2,,10.1016/j.jallcom.2015.11.050,
Al1Cr1Mo1Nb1Ti1,CAST,C,1000,,6.6,BCC,,594,630,,170,15,,10.1016/j.jallcom.2015.11.050,
Al1Cr1Mo1Nb1Ti1,CAST,C,1200,,6.6,BCC,,105,116,,170,24,,10.1016/j.jallcom.2015.11.050,
Al1Cr1Mo1Nb1Ti1,ANNEAL,C,23,6.56,6.6,BCC+Laves,,1010,,,170,,,10.1016/j.actamat.2019.06.032,
