FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,C,25.0,7.5,7.458566983,0,,750.0,1970.0,195.0,189.296876,39.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,C,25.0,7.455,7.458566983,0,,750.0,,102.5,189.296876,38.5,,,Prof.Yeh-3dtransitional
Al0.25 Co1 Cr1 Fe1 Ni1,,,25.0,7.7,7.719849722,0,110.0,,,,212.7722739,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Co1 Cr1 Fe1 Ni1,,,25.0,7.7,7.719849722,0,113.0,,,,212.7722739,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Co1 Fe1 Ni1,,C,25.0,7.9,7.886957534,0,138.0,158.0,,,191.8170678,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Co1 Fe1 Ni1,,C,25.0,7.885,7.886957534,0,137.5,160.5,,,191.8170678,,,,Prof.Yeh-3dtransitional
Al0.25 Cr0.417 Fe0.417 Ni1,CAST,T,25.0,,7.3,0,,441.0,757.0,,196.0,45.0,,10.1016/j.jallcom.2018.08.176,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,CAST,C,25.0,,5.8,1,,1240.0,,,134.0,,,10.1016/j.matlet.2016.11.030,
Al0.25 Cr1 Cu1 Fe1 Ni2,,C,,,7.96333292,0,,,,,195.3236324,,,,Paper_Collection_5_element
Al0.25 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,7.1,1,460.0,1250.0,1500.0,,161.0,13.0,,10.3390/e16020870,
