FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,CAST,,25.0,,7.6,0,204.0,,,,,,,10.1007/s11661-006-0081-3,
Al0.5 Co1 Cr1 Cu1 Fe1,,,25.0,7.4,7.365893181,0,207.0,,,,186.7519637,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,1000.0,7.6,7.621679625,0,,150.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,0,,388.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,300.0,7.6,7.621679625,0,,411.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,500.0,7.6,7.621679625,0,,421.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,700.0,7.6,7.621679625,0,,426.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,900.0,7.6,7.621679625,0,,230.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,1100.0,7.6,7.621679625,0,,80.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.6,7.621679625,0,210.0,388.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,2,300.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,0,225.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,0,215.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.625,7.621679625,0,210.0,388.0,,,188.9516251,,,,Prof.Yeh-3dtransitional
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,,,25.0,7.5,7.462763984,0,272.0,,,,185.2393228,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,,,25.0,7.3,7.319238709,0,321.0,,,,181.8865426,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,,,25.0,7.6,7.56136684,0,204.0,,,,186.4990569,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.2,,,25.0,7.3,7.320414388,1,579.0,,,,176.7009301,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.4,,,25.0,7.3,7.281595783,1,577.0,,,,175.1224045,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.6,,,25.0,7.2,7.245214601,1,594.0,,,,173.6429946,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.8,,,25.0,7.2,7.211048262,1,597.0,,,,172.2536494,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V2.0,,,25.0,7.2,7.178900485,1,587.0,,,,170.9463874,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Cr1 Cu1 Fe1 Ni1,CAST,,,,7.4,0,226.0,,,,185.0,,,10.1007/s11665-018-3822-8,
Al0.5 Cr1 Cu1 Fe1 Ni1,WROUGHT,,,,7.4,0,287.0,,,,185.0,,,10.1007/s11665-018-3822-8,
Al0.5 Cr1 Cu1 Fe1 Ni2,,C,,,7.631019169,0,,,,,187.4137844,,,,Paper_Collection_5_element
Al0.5 Cr1 Fe1.5 Mn1 Ni0.5,,,25.0,7.0,6.969236476,1,396.0,,,,200.6999403,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.3,1,396.0,1302.0,,97.0,104.0,46.0,,10.1016/j.jallcom.2014.11.064,
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.3,9.338160378,1,396.0,1302.0,,107.0,104.0625193,46.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.34,9.338160378,1,396.0,1302.0,,97.0,104.0625193,46.0,46.0,,Prof.Yeh-RHEA
Al0.5 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,6.8,1,487.0,1625.0,1800.0,,156.0,11.0,,10.3390/e16020870,
Al0.5 Mo1 Nb1 Ti1 V1,,C,25.0,6.8,6.817877503,1,487.0,1625.0,,,155.5890876,11.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.8,6.817877503,1,487.0,1625.0,,158.0,155.5890876,11.0,11.0,,Prof.Yeh-RHEA
Al0.5 Nb1 Ta0.5 Ti1 Zr1,POWDER,,,,7.3,1,,,,,102.0,,,10.1016/j.matlet.2019.03.075,
Al0.5 Nb1 Ta1 Ti1 V1,CAST,C,25.0,,8.5,1,,1014.0,,,127.0,,,10.1016/j.proeng.2012.03.043,
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,25.0,7.6,7.557222162,1,,2035.0,,,108.974285,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,800.0,7.6,7.557222162,1,,796.0,,,108.974285,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,1000.0,7.6,7.557222162,1,,220.0,,,108.974285,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,C,25.0,7.6,7.557222162,1,530.0,2035.0,2105.0,,108.974285,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Nb1 Ta1 Ti1 V1,,C,25.0,8.5,8.460857347,1,,1014.0,,127.0,127.1790096,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.6 Cr1 Cu1 Fe1 Ni2,,,25.0,7.5,7.509549942,0,,,,,184.5225314,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.6 Mo1 Ta1 Ti1 V1,CAST,C,25.0,,8.7,1,,962.0,1033.0,,173.0,,,10.4028/www.scientific.net/MSF.898.638,
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.1,1,427.0,1415.0,2050.0,102.0,103.0,30.0,,10.1016/j.jallcom.2014.11.064,
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.091430053,1,427.0,1415.0,,105.0,102.7968193,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.3,9.091430053,1,427.0,1415.0,,102.0,102.7968193,30.0,30.0,,Prof.Yeh-RHEA
Al0.75 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,6.6,1,517.0,1260.0,1300.0,,151.0,8.0,,10.3390/e16020870,
Al0.75 Mo1 Nb1 Ti1 V1,,C,25.0,6.6,6.597193785,1,517.0,1260.0,,,151.0042854,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.75 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.6,6.597193785,1,517.0,1260.0,,154.0,151.0042854,8.0,7.0,,Prof.Yeh-RHEA
Al0.7 Co0.3 Cr1 Fe1 Ni1,,C,25.0,6.79,6.79019543,2,624.0,2030.0,,,191.8815486,8.12,,,Prof.Yeh-3dtransitional
Al0.875 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,6.9,1,538.0,,,,188.0,,,10.1016/j.jallcom.2009.08.090,
Al0.875 Co1 Cr1 Fe1 Ni1,,,25.0,6.9,6.855946636,1,538.0,,,,188.2105698,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.3,7.275683436,0,270.0,,,,180.5924104,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.8 Cr1 Cu1 Fe1 Ni2,,,25.0,7.3,7.283715815,0,,,,,179.1471486,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.0 Co1 Fe1 Ni1,,C,25.0,6.605,6.604716099,1,455.5,963.5,,,161.7140033,,,,Prof.Yeh-3dtransitional
Al1.125 Cu1 Fe0.75 Ni1 Ti1.125,,C,25.0,5.9,5.879319466,0,516.0,980.0,1326.0,140.0,131.1704646,7.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.125 Cu1 Fe0.75 Ni1 Ti1.125,,C,25.0,5.885,5.879319466,0,516.0,980.0,,145.0,131.1704646,6.6,,,Prof.Yeh-3dtransitional
Al1.25 Co1 Cr1 Fe1 Mn1 Ni1,,,25.0,6.6,6.623079554,1,539.0,,,,180.3814042,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.25 Co1 Cr1 Fe1 Ni1,,,25.0,6.5,6.466931593,1,487.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.25 Co1 Cr1 Fe1 Ni1,,,25.0,6.5,6.466931593,1,499.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5 Co1 Cr1 Fe1 Ni1,,,25.0,6.2,6.245655305,1,484.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5 Co1 Cr1 Fe1 Ni1,,,25.0,6.2,6.245655305,1,517.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5 Co1 Cr1 Fe1 Ni1,,,25.0,6.2,6.245655305,1,402.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1.5 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,5.9,5.896411178,1,,,2110.0,172.0,159.8915821,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,,,25.0,,5.4,1,644.0,,,,136.0,,,10.3166/acsm.31.633-648,
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,CAST,,25.0,,5.3,1,506.0,,,,145.0,,,10.1016/j.jallcom.2008.07.124,
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,,,25.0,,5.5,1,657.0,,,,139.0,,,10.3166/acsm.31.633-648,
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,CAST,,25.0,,5.6,1,487.0,,,,152.0,,,10.1016/j.jallcom.2008.07.124,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,1000.0,,6.3,1,,116.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,1100.0,,6.3,1,,79.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,25.0,,6.3,1,,1620.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,600.0,,6.3,1,,805.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,500.0,,6.3,1,,1120.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,700.0,,6.3,1,,567.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,900.0,,6.3,1,,214.0,,,156.0,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,800.0,,6.3,1,,302.0,,,,,,10.1007/s11661-005-0218-9,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,ANNEAL,,25.0,,5.9,1,509.0,,,,160.0,,,10.1016/j.jallcom.2009.08.090,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,ANNEAL,,25.0,,5.9,1,512.0,,,,160.0,,,10.1016/j.jallcom.2009.08.090,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,CAST,,25.0,,5.9,1,432.0,,,,,9.98,,10.1016/j.jallcom.2008.07.124,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,,,,,5.9,1,733.0,,,,160.0,,,10.1016/j.intermet.2012.03.005,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,ANNEAL,,25.0,,6.2,1,484.0,,,,171.0,,,10.1016/j.jallcom.2009.08.090,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,ANNEAL,,25.0,,6.2,1,517.0,,,,171.0,,,10.1016/j.jallcom.2009.08.090,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,CAST,,25.0,,6.2,1,402.0,,,,171.0,,,10.1016/j.jallcom.2008.07.124,
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,CAST,,25.0,,6.6,1,539.0,,,,180.0,,,10.1016/j.actamat.2013.09.037,
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,ANNEAL,,25.0,,6.5,1,487.0,,,,177.0,,,10.1016/j.jallcom.2009.08.090,
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,ANNEAL,,25.0,,6.5,1,499.0,,,,177.0,,,10.1016/j.jallcom.2009.08.090,
Al1 Co1 Cr1 Cu1 Ni1 Ti1,,C,25.0,,6.4,1,,,1495.0,36.0,157.0,,8.0,10.1016/j.matdes.2009.09.016,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,CAST,C,25.0,,6.1,2,,,1025.0,36.0,,,3.0,10.1016/j.matdes.2009.09.016,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,CAST,C,25.0,,5.9,2,,,1325.0,38.0,,,5.0,10.1016/j.matdes.2009.09.016,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,CAST,C,25.0,,5.8,2,,,1192.0,37.0,,,4.0,10.1016/j.matdes.2009.09.016,
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,CAST,C,25.0,,6.8,1,,1804.0,2280.0,,188.0,,9.0,10.1016/j.msea.2010.07.028,
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,CAST,C,25.0,,6.8,1,569.0,1641.0,3285.0,,182.0,,17.0,10.1016/j.msea.2011.10.110,
Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,1,520.0,1373.0,3531.0,,,20.0,,10.1016/j.msea.2011.10.110,
Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,1,,1110.0,,,,0.8,,10.1016/j.msea.2010.07.049,
Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,1,,1051.0,,,,22.7,,10.1016/j.msea.2010.07.028,
Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,1,,1251.0,2004.0,,,1.0,,10.1016/j.msea.2008.01.064,
Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,1,,1138.0,,,,,,10.1016/j.jallcom.2010.10.047,
Al1 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,6.7,1,484.0,,,,,,,10.1016/j.jallcom.2009.08.090,
Al1 Co1 Cr1 Fe1 Ni1,CAST,,25.0,,6.7,1,395.0,,,,,,,10.1016/j.jallcom.2008.07.124,
Al1 Co1 Cr1 Fe1 Ni1,,,,,6.7,1,500.0,,,,184.0,,,10.1016/j.intermet.2012.03.005,
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,CAST,C,25.0,,6.5,1,,1265.0,2173.0,,176.0,,14.0,10.1016/j.msea.2010.07.049,
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,CAST,C,25.0,,6.2,1,,1481.0,2444.0,,169.0,,13.0,10.1016/j.msea.2010.07.049,
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,CAST,C,25.0,,6.0,1,,1834.0,2195.0,,162.0,,3.0,10.1016/j.msea.2010.07.049,
Al1 Co1 Cu1 Fe1 Nd1 Ni1,CAST,,25.0,,7.0,2,578.0,,,,,,,10.1016/j.msea.2012.07.003,
Al1 Co1 Fe1 Ni1,CAST,C,25.0,,6.6,1,456.0,964.0,,,162.0,,,10.1016/j.jmmm.2014.07.023,
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,CAST,,25.0,,6.2,1,790.0,,,,129.0,,,10.1002/adem.200300567,
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,CAST,C,25.0,3.06,3.1,0,,490.0,,78.4,75.0,6.0,,10.1038/s41598-019-43329-w,
Al1 Cr0.5 Nb1 Ti1 V1,ANNEAL,C,600.0,,5.6,1,,1005.0,1045.0,,119.0,,,10.1016/j.jallcom.2015.08.224,
Al1 Cr0.5 Nb1 Ti1 V1,ANNEAL,C,800.0,,5.6,1,,640.0,685.0,,119.0,,,10.1016/j.jallcom.2015.08.224,
Al1 Cr0.5 Nb1 Ti1 V1,ANNEAL,C,1000.0,,5.6,1,,40.0,80.0,,119.0,,,10.1016/j.jallcom.2015.08.224,
Al1 Cr0.5 Nb1 Ti1 V1,ANNEAL,C,25.0,,5.6,1,,1300.0,1430.0,,119.0,,,10.1016/j.jallcom.2015.08.224,
Al1 Cr1 Cu1 Fe1 Mn1,POWDER,C,25.0,,6.5,2,633.0,1010.0,,,,,,10.1557/jmr.2019.18,
Al1 Cr1 Mo1 Nb1,ANNEAL,,,,7.2,2,,,,,,,,10.1016/j.matdes.2018.06.003,
Al1 Cr1 Mo1 Nb1,CAST,,,,7.2,2,,,,,,,,10.1016/j.matdes.2018.06.003,
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,25.0,,6.6,1,,,,,170.0,,,10.1016/j.jallcom.2015.11.050,
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,400.0,,6.6,1,,1080.0,1100.0,,170.0,2.0,,10.1016/j.jallcom.2015.11.050,
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,600.0,,6.6,1,,1060.0,1170.0,,170.0,3.0,,10.1016/j.jallcom.2015.11.050,
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,800.0,,6.6,1,,860.0,1000.0,,170.0,2.0,,10.1016/j.jallcom.2015.11.050,
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,1000.0,,6.6,1,,594.0,630.0,,170.0,15.0,,10.1016/j.jallcom.2015.11.050,
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,1200.0,,6.6,1,,105.0,116.0,,170.0,24.0,,10.1016/j.jallcom.2015.11.050,
Al1 Cr1 Mo1 Nb1 Ti1,ANNEAL,C,600.0,,6.6,1,,930.0,,,170.0,,,10.1007/s11661-017-4386-1,
Al1 Cr1 Mo1 Nb1 Ti1,ANNEAL,C,800.0,,6.6,1,,875.0,,,,,,10.1007/s11661-017-4386-1,
Al1 Cr1 Mo1 Nb1 Ti1,ANNEAL,C,1000.0,,6.6,1,,550.0,,,,,,10.1007/s11661-017-4386-1,
Al1 Cr1 Mo1 Nb1 Ti1,ANNEAL,C,1200.0,,6.6,1,,150.0,,,,,,10.1007/s11661-017-4386-1,
Al1 Cr1 Mo1 Ti1,ANNEAL,C,23.0,5.98,6.0,1,,1100.0,,,189.0,,,10.1016/j.actamat.2019.06.032,
Al1 Cr1 Mo1 Ti1,ANNEAL,C,1000.0,5.98,6.0,1,,375.0,,,189.0,,,10.1016/j.actamat.2019.06.032,
Al1 Cr1 Mo1 Ti1,ANNEAL,C,1200.0,5.98,6.0,1,,100.0,,,189.0,,,10.1016/j.actamat.2019.06.032,
Al1 Cr1 Mo1 Ti1,ANNEAL,C,400.0,,6.0,1,,1070.0,,,189.0,,,10.1007/s11661-017-4386-1,
Al1 Cr1 Mo1 Ti1,ANNEAL,C,600.0,,6.0,1,,1020.0,,,189.0,,,10.1007/s11661-017-4386-1,
Al1 Cr1 Mo1 Ti1,ANNEAL,C,800.0,,6.0,1,,875.0,,,189.0,,,10.1007/s11661-017-4386-1,
Al1 Cr1 Mo1 Ti1,ANNEAL,C,1000.0,,6.0,1,,375.0,,,189.0,,,10.1007/s11661-017-4386-1,
Al1 Cr1 Mo1 Ti1,ANNEAL,C,1200.0,,6.0,1,,100.0,,,189.0,,,10.1007/s11661-017-4386-1,
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,CAST,C,25.0,3.08,3.2,0,,422.0,,88.7,73.0,1.0,,10.1038/s41598-019-43329-w,
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,CAST,C,25.0,2.98,3.2,0,,622.0,,114.1,73.0,2.0,,10.1038/s41598-019-43329-w,
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,CAST,C,25.0,3.15,3.2,0,,534.0,,107.8,72.0,1.0,,10.1038/s41598-019-43329-w,
Al1 Cu0.2 Li0.5 Mg1 Zn0.5,CAST,,25.0,,2.7,2,,,,,,,,10.1007/s11837-015-1402-z,
Al1 Cu0.5 Li0.5 Mg1 Sn0.2,CAST,,25.0,,3.0,2,,,,,,,,10.1007/s11837-015-1402-z,
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,CAST,C,25.0,,5.9,0,516.0,980.0,1326.0,145.0,131.0,,7.0,10.1016/j.apsusc.2015.07.207,
Al1 Cu1 Fe1 Ni1 Ti1,CAST,C,25.0,,6.1,0,516.0,1074.0,1617.0,146.0,137.0,,8.0,10.1016/j.apsusc.2015.07.207,
Al1 Cu1 Ni1 Ti1,CAST,C,25.0,,5.7,0,537.0,300.0,536.0,108.0,122.0,,0.85,10.1016/j.apsusc.2015.07.207,
Al1 Fe1 Ni1 Ti1 V1 Zr1,CAST,,25.0,,5.9,1,800.0,,,,119.0,,,10.1002/adem.200300567,
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,8.91,8.862378885,1,441.0,1489.0,,103.0,101.6218114,21.0,21.0,,Prof.Yeh-RHEA
Al1 Mo1 Nb1 Ti1,CAST,,,,6.5,1,509.0,,,,151.0,,,10.1016/j.matdes.2018.06.003,
Al1 Mo1 Nb1 Ti1,ANNEAL,C,23.0,6.46,6.5,1,,1100.0,,,151.0,,,10.1016/j.actamat.2019.06.032,
Al1 Mo1 Nb1 Ti1,ANNEAL,C,1000.0,6.46,6.5,1,,540.0,,,151.0,,,10.1016/j.actamat.2019.06.032,
Al1 Mo1 Nb1 Ti1,ANNEAL,C,1200.0,6.46,6.5,1,,200.0,,,151.0,,,10.1016/j.actamat.2019.06.032,
Al1 Mo1 Nb1 Ti1,ANNEAL,C,600.0,,6.5,1,,520.0,,,151.0,,,10.1007/s11661-017-4386-1,
Al1 Mo1 Nb1 Ti1,ANNEAL,C,800.0,,6.5,1,,500.0,,,151.0,,,10.1007/s11661-017-4386-1,
Al1 Mo1 Nb1 Ti1,ANNEAL,C,1000.0,,6.5,1,,540.0,,,,,,10.1007/s11661-017-4386-1,
Al1 Mo1 Nb1 Ti1,ANNEAL,C,1200.0,,6.5,1,,200.0,,,151.0,,,10.1007/s11661-017-4386-1,
Al1 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,6.4,1,537.0,1375.0,1400.0,,147.0,3.0,,10.3390/e16020870,
Al1 Mo1 Ta1 Ti1 V1,CAST,C,25.0,,8.2,1,,,735.0,,165.0,,,10.4028/www.scientific.net/MSF.898.638,
Al1 Nb1 Ta1 Ti1,CAST,,,,8.2,1,458.0,,,,120.0,,,10.1016/j.matdes.2018.06.003,
Al1 Nb1 Ta1 Ti1,CAST,C,20.0,,8.2,1,,1152.0,,,120.0,,,10.1016/j.actamat.2019.06.006,
Al1 Nb1 Ta1 Ti1,CAST,C,200.0,,8.2,1,,740.0,,,,,,10.1016/j.actamat.2019.06.006,
Al1 Nb1 Ta1 Ti1,CAST,C,100.0,,8.2,1,,740.0,,,120.0,,,10.1016/j.actamat.2019.06.006,
Al1 Nb1 Ta1 Ti1 V1,CAST,C,25.0,,7.9,1,,993.0,,,122.0,,,10.1016/j.proeng.2012.03.043,
Al1 Nb1 Ti1 V1,ANNEAL,C,25.0,,5.5,1,448.0,1020.0,1318.0,,104.0,,50.0,10.1016/j.matlet.2014.11.162,
Al1 Nb1 Ti1 V1,ANNEAL,C,600.0,,5.5,1,,810.0,1050.0,,,,,10.1016/j.matlet.2014.11.162,
Al1 Nb1 Ti1 V1,ANNEAL,C,800.0,,5.5,1,,685.0,,,,,,10.1016/j.matlet.2014.11.162,
